year,garnizon,sex,suicides,outcome
2011,Poznań,Male,274,Attempted
2011,Szczecin,Male,196,Attempted
2011,Warszawa,Male,158,Attempted
2012,Wrocław,Male,216,Attempted
2012,Bydgoszcz,Male,294,Attempted
2012,Lublin,Male,252,Attempted
2012,Gorzów Wlkp.,Male,200,Attempted
2012,Łódź,Male,399,Attempted
2012,Kraków,Male,386,Attempted
2012,Radom,Male,308,Attempted
2012,Opole,Male,109,Attempted
2012,Rzeszów,Male,190,Attempted
2012,Białystok,Male,196,Attempted
2012,Gdańsk,Male,214,Attempted
2012,Katowice,Male,480,Attempted
2012,Kielce,Male,445,Attempted
2012,Olsztyn,Male,277,Attempted
2012,Poznań,Male,251,Attempted
2012,Szczecin,Male,177,Attempted
2012,Warszawa,Male,309,Attempted
1999,Wrocław,Female,61,Attempted
1999,Bydgoszcz,Female,36,Attempted
1999,Lublin,Female,52,Attempted
1999,Gorzów Wlkp.,Female,38,Attempted
1999,Łódź,Female,62,Attempted
1999,Kraków,Female,47,Attempted
1999,Radom,Female,45,Attempted
1999,Opole,Female,29,Attempted
1999,Rzeszów,Female,35,Attempted
1999,Białystok,Female,44,Attempted
1999,Gdańsk,Female,55,Attempted
1999,Katowice,Female,86,Attempted
1999,Kielce,Female,28,Attempted
1999,Olsztyn,Female,32,Attempted
1999,Poznań,Female,137,Attempted
1999,Szczecin,Female,75,Attempted
1999,Warszawa,Female,28,Attempted
2000,Wrocław,Female,100,Attempted
2000,Bydgoszcz,Female,42,Attempted
2000,Lublin,Female,50,Attempted
2000,Gorzów Wlkp.,Female,28,Attempted
2000,Łódź,Female,69,Attempted
2000,Kraków,Female,108,Attempted
2000,Radom,Female,61,Attempted
2000,Opole,Female,27,Attempted
2000,Rzeszów,Female,67,Attempted
2000,Białystok,Female,40,Attempted
2000,Gdańsk,Female,63,Attempted
2000,Katowice,Female,124,Attempted
2000,Kielce,Female,31,Attempted
2000,Olsztyn,Female,25,Attempted
2000,Poznań,Female,158,Attempted
2000,Szczecin,Female,81,Attempted
2000,Warszawa,Female,27,Attempted
2001,Wrocław,Female,70,Attempted
2001,Bydgoszcz,Female,43,Attempted
2001,Lublin,Female,46,Attempted
2001,Gorzów Wlkp.,Female,62,Attempted
2001,Łódź,Female,60,Attempted
2001,Kraków,Female,107,Attempted
2001,Radom,Female,58,Attempted
2001,Opole,Female,22,Attempted
2001,Rzeszów,Female,68,Attempted
2001,Białystok,Female,36,Attempted
2001,Gdańsk,Female,51,Attempted
2001,Katowice,Female,105,Attempted
2001,Kielce,Female,26,Attempted
2001,Olsztyn,Female,34,Attempted
2001,Poznań,Female,132,Attempted
2001,Szczecin,Female,90,Attempted
2001,Warszawa,Female,25,Attempted
2002,Wrocław,Female,74,Attempted
2002,Bydgoszcz,Female,48,Attempted
2002,Lublin,Female,41,Attempted
2002,Gorzów Wlkp.,Female,43,Attempted
2002,Łódź,Female,62,Attempted
2002,Kraków,Female,136,Attempted
2002,Radom,Female,73,Attempted
2002,Opole,Female,26,Attempted
2002,Rzeszów,Female,74,Attempted
2002,Białystok,Female,38,Attempted
2002,Gdańsk,Female,64,Attempted
2002,Katowice,Female,132,Attempted
2002,Kielce,Female,36,Attempted
2002,Olsztyn,Female,55,Attempted
2002,Poznań,Female,145,Attempted
2002,Szczecin,Female,76,Attempted
2002,Warszawa,Female,29,Attempted
2003,Wrocław,Female,84,Attempted
2003,Bydgoszcz,Female,39,Attempted
2003,Lublin,Female,55,Attempted
