year,garnizon,outcome,total,percentage
2012,Bydgoszcz,Attempted,348,NA
2012,Bydgoszcz,Fatal,291,NA
2012,Gdańsk,Attempted,247,NA
2012,Gdańsk,Fatal,194,NA
2012,Gorzów Wlkp.,Attempted,248,NA
2012,Gorzów Wlkp.,Fatal,154,NA
2012,Katowice,Attempted,612,NA
2012,Katowice,Fatal,379,NA
2012,Kielce,Attempted,576,NA
2012,Kielce,Fatal,311,NA
2012,Kraków,Attempted,468,NA
2012,Kraków,Fatal,333,NA
2012,Lublin,Attempted,302,NA
2012,Lublin,Fatal,236,NA
2012,Łódź,Attempted,511,NA
2012,Łódź,Fatal,373,NA
2012,Olsztyn,Attempted,346,NA
2012,Olsztyn,Fatal,194,NA
2012,Opole,Attempted,148,NA
2012,Opole,Fatal,99,NA
2012,Poznań,Attempted,294,NA
2012,Poznań,Fatal,245,NA
2012,Radom,Attempted,350,NA
2012,Radom,Fatal,323,NA
2012,Rzeszów,Attempted,233,NA
2012,Rzeszów,Fatal,192,NA
2012,Szczecin,Attempted,229,NA
2012,Szczecin,Fatal,128,NA
2012,Warszawa,Attempted,385,NA
2012,Warszawa,Fatal,318,NA
2012,Wrocław,Attempted,262,NA
2012,Wrocław,Fatal,231,NA
2013,Białystok,Attempted,283,NA
2013,Białystok,Fatal,171,NA
2013,Bydgoszcz,Attempted,303,NA
2013,Bydgoszcz,Fatal,259,NA
2013,Gdańsk,Attempted,399,NA
2013,Gdańsk,Fatal,337,NA
2013,Gorzów Wlkp.,Attempted,265,NA
2013,Gorzów Wlkp.,Fatal,178,NA
2013,Katowice,Attempted,1149,NA
2013,Katowice,Fatal,783,NA
2013,Kielce,Attempted,725,NA
2013,Kielce,Fatal,255,NA
2013,Kraków,Attempted,752,NA
2013,Kraków,Fatal,479,NA
2013,Lublin,Attempted,474,NA
2013,Lublin,Fatal,386,NA
2013,Łódź,Attempted,698,NA
2013,Łódź,Fatal,474,NA
2013,Olsztyn,Attempted,461,NA
2013,Olsztyn,Fatal,248,NA
2013,Opole,Attempted,218,NA
2013,Opole,Fatal,152,NA
2013,Poznań,Attempted,504,NA
2013,Poznań,Fatal,407,NA
2013,Radom,Attempted,527,NA
2013,Radom,Fatal,459,NA
2013,Rzeszów,Attempted,327,NA
2013,Rzeszów,Fatal,264,NA
2013,Szczecin,Attempted,416,NA
2013,Szczecin,Fatal,320,NA
2013,Warszawa,Attempted,510,NA
2013,Warszawa,Fatal,444,NA
2013,Wrocław,Attempted,563,NA
2013,Wrocław,Fatal,484,NA
2014,Białystok,Attempted,358,NA
2014,Białystok,Fatal,176,NA
2014,Bydgoszcz,Attempted,326,NA
2014,Bydgoszcz,Fatal,302,NA
2014,Gdańsk,Attempted,449,NA
2014,Gdańsk,Fatal,338,NA
2014,Gorzów Wlkp.,Attempted,241,NA
2014,Gorzów Wlkp.,Fatal,162,NA
2014,Katowice,Attempted,1407,NA
2014,Katowice,Fatal,720,NA
2014,Kielce,Attempted,839,NA
2014,Kielce,Fatal,237,NA
2014,Kraków,Attempted,1004,NA
2014,Kraków,Fatal,500,NA
2014,Lublin,Attempted,532,NA
2014,Lublin,Fatal,365,NA
2014,Łódź,Attempted,893,NA
2014,Łódź,Fatal,454,NA
2014,Olsztyn,Attempted,627,NA
2014,Olsztyn,Fatal,285,NA
2014,Opole,Attempted,228,NA
2014,Opole,Fatal,133,NA
2014,Poznań,Attempted,601,NA
2014,Poznań,Fatal,454,NA
2014,Radom,Attempted,598,NA
2014,Radom,Fatal,450,NA
2014,Rzeszów,Attempted,425,NA
2014,Rzeszów,Fatal,273,NA
2014,Szczecin,Attempted,457,NA
2014,Szczecin,Fatal,319,NA
2014,Warszawa,Attempted,539,NA
2014,Warszawa,Fatal,443,NA
2014,Wrocław,Attempted,683,NA
2014,Wrocław,Fatal,554,NA
2015,Białystok,Attempted,310,NA
2015,Białystok,Fatal,160,NA
2015,Bydgoszcz,Attempted,344,NA
2015,Bydgoszcz,Fatal,278,NA
2015,Gdańsk,Attempted,470,NA
2015,Gdańsk,Fatal,333,NA
2015,Gorzów Wlkp.,Attempted,278,NA
2015,Gorzów Wlkp.,Fatal,180,NA
2015,Katowice,Attempted,1511,NA
2015,Katowice,Fatal,687,NA
2015,Kielce,Attempted,793,NA
2015,Kielce,Fatal,233,NA
2015,Kraków,Attempted,898,NA
2015,Kraków,Fatal,436,NA
2015,Lublin,Attempted,502,NA
2015,Lublin,Fatal,351,NA
2015,Łódź,Attempted,906,NA
2015,Łódź,Fatal,400,NA
2015,Olsztyn,Attempted,589,NA
2015,Olsztyn,Fatal,254,NA
2015,Opole,Attempted,235,NA
2015,Opole,Fatal,144,NA
2015,Poznań,Attempted,574,NA
