Year,Garnizon,Age,Suicides
2009,KWP Poznań,19-24,28
2009,KSP Warszawa,19-24,10
2009,Polska,19-24,336
2010,KWP Kraków,19-24,25
2010,KWP Opole,19-24,13
2010,KWP Katowice,19-24,38
2010,KWP Poznań,19-24,35
2010,KSP Warszawa,19-24,20
2010,Polska,19-24,338
2011,KWP Kraków,19-24,26
2011,KWP Opole,19-24,10
2011,KWP Katowice,19-24,32
2011,KWP Poznań,19-24,21
2011,KSP Warszawa,19-24,20
2011,Polska,19-24,321
2012,KWP Kraków,19-24,26
2012,KWP Opole,19-24,6
2012,KWP Katowice,19-24,26
2012,KWP Poznań,19-24,20
2012,KSP Warszawa,19-24,23
2012,Polska,19-24,326
1999,KWP Kraków,25-29,18
1999,KWP Opole,25-29,5
1999,KWP Katowice,25-29,23
1999,KWP Poznań,25-29,46
1999,KSP Warszawa,25-29,8
1999,Polska,25-29,305
2000,KWP Kraków,25-29,35
2000,KWP Opole,25-29,10
2000,KWP Katowice,25-29,24
2000,KWP Poznań,25-29,38
2000,KSP Warszawa,25-29,5
2000,Polska,25-29,309
2001,KWP Kraków,25-29,36
2001,KWP Opole,25-29,7
2001,KWP Katowice,25-29,25
2001,KWP Poznań,25-29,33
2001,KSP Warszawa,25-29,3
2001,Polska,25-29,342
2002,KWP Kraków,25-29,29
2002,KWP Opole,25-29,7
2002,KWP Katowice,25-29,41
2002,KWP Poznań,25-29,31
2002,KSP Warszawa,25-29,7
2002,Polska,25-29,357
2003,KWP Kraków,25-29,28
2003,KWP Opole,25-29,9
2003,KWP Katowice,25-29,41
2003,KWP Poznań,25-29,28
2003,KSP Warszawa,25-29,13
2003,Polska,25-29,340
2004,KWP Kraków,25-29,25
2004,KWP Opole,25-29,13
2004,KWP Katowice,25-29,43
2004,KWP Poznań,25-29,24
2004,KSP Warszawa,25-29,15
2004,Polska,25-29,353
2005,KWP Kraków,25-29,30
2005,KWP Opole,25-29,10
2005,KWP Katowice,25-29,51
2005,KWP Poznań,25-29,29
2005,KSP Warszawa,25-29,12
2005,Polska,25-29,356
2006,KWP Kraków,25-29,30
2006,KWP Opole,25-29,9
2006,KWP Katowice,25-29,32
2006,KWP Poznań,25-29,18
2006,KSP Warszawa,25-29,13
2006,Polska,25-29,282
2007,KWP Kraków,25-29,17
2007,KWP Opole,25-29,4
2007,KWP Katowice,25-29,24
2007,KWP Poznań,25-29,24
2007,KSP Warszawa,25-29,11
2007,Polska,25-29,249
2008,KWP Kraków,25-29,26
2008,KWP Opole,25-29,5
2008,KWP Katowice,25-29,44
2008,KWP Poznań,25-29,18
2008,KSP Warszawa,25-29,19
2008,Polska,25-29,321
2009,KWP Kraków,25-29,26
2009,KWP Opole,25-29,4
2009,KWP Katowice,25-29,21
2009,KWP Poznań,25-29,13
2009,KSP Warszawa,25-29,16
2009,Polska,25-29,291
2010,KWP Kraków,25-29,33
2010,KWP Opole,25-29,4
2010,KWP Katowice,25-29,36
2010,KWP Poznań,25-29,15
2010,KSP Warszawa,25-29,14
2010,Polska,25-29,310
2011,KWP Kraków,25-29,26
2011,KWP Opole,25-29,3
2011,KWP Katowice,25-29,39
2011,KWP Poznań,25-29,16
2011,KSP Warszawa,25-29,12
2011,Polska,25-29,292
2012,KWP Kraków,25-29,20
2012,KWP Opole,25-29,13
2012,KWP Katowice,25-29,26
2012,KWP Poznań,25-29,13
2012,KSP Warszawa,25-29,26
2012,Polska,25-29,314
1999,KWP Kraków,30-34,21
1999,KWP Opole,30-34,9
1999,KWP Katowice,30-34,39
1999,KWP Poznań,30-34,42
1999,KSP Warszawa,30-34,7
1999,Polska,30-34,327
2000,KWP Kraków,30-34,41
2000,KWP Opole,30-34,10
2000,KWP Katowice,30-34,41
2000,KWP Poznań,30-34,37
2000,KSP Warszawa,30-34,5
2000,Polska,30-34,338
2001,KWP Kraków,30-34,36
2001,KWP Opole,30-34,9
2001,KWP Katowice,30-34,22
2001,KWP Poznań,30-34,35
2001,KSP Warszawa,30-34,7
2001,Polska,30-34,332
2002,KWP Kraków,30-34,33
2002,KWP Opole,30-34,7
2002,KWP Katowice,30-34,30
2002,KWP Poznań,30-34,35
2002,KSP Warszawa,30-34,13
2002,Polska,30-34,330
2003,KWP Kraków,30-34,28
2003,KWP Opole,30-34,8
2003,KWP Katowice,30-34,27
2003,KWP Poznań,30-34,23
2003,KSP Warszawa,30-34,10
2003,Polska,30-34,321
2004,KWP Kraków,30-34,28
2004,KWP Opole,30-34,8
2004,KWP Katowice,30-34,28
2004,KWP Poznań,30-34,19
2004,KSP Warszawa,30-34,27
2004,Polska,30-34,324
2005,KWP Kraków,30-34,25
2005,KWP Opole,30-34,5
2005,KWP Katowice,30-34,26
2005,KWP Poznań,30-34,37
2005,KSP Warszawa,30-34,26
2005,Polska,30-34,324
2006,KWP Kraków,30-34,22
2006,KWP Opole,30-34,9
2006,KWP Katowice,30-34,33
2006,KWP Poznań,30-34,16
2006,KSP Warszawa,30-34,15
2006,Polska,30-34,292
2007,KWP Kraków,30-34,14
2007,KWP Opole,30-34,7
2007,KWP Katowice,30-34,26
2007,KWP Poznań,30-34,27
2007,KSP Warszawa,30-34,15
2007,Polska,30-34,248
2008,KWP Kraków,30-34,22
2008,KWP Opole,30-34,5
2008,KWP Katowice,30-34,22
2008,KWP Poznań,30-34,31
2008,KSP Warszawa,30-34,13
2008,Polska,30-34,287
2009,KWP Kraków,30-34,28
2009,KWP Opole,30-34,9
2009,KWP Katowice,30-34,40
2009,KWP Poznań,30-34,30
2009,KSP Warszawa,30-34,13
2009,Polska,30-34,309
2010,KWP Kraków,30-34,26
2010,KWP Opole,30-34,6
2010,KWP Katowice,30-34,32
2010,KWP Poznań,30-34,31
2010,KSP Warszawa,30-34,18
2010,Polska,30-34,290
2011,KWP Kraków,30-34,26
2011,KWP Opole,30-34,3
2011,KWP Katowice,30-34,38
2011,KWP Poznań,30-34,22
2011,KSP Warszawa,30-34,15
2011,Polska,30-34,293
2012,KWP Kraków,30-34,26
2012,KWP Opole,30-34,4
2012,KWP Katowice,30-34,33
2012,KWP Poznań,30-34,14
2012,KSP Warszawa,30-34,23
2012,Polska,30-34,337
1999,KWP Kraków,35-39,22
1999,KWP Opole,35-39,19
1999,KWP Katowice,35-39,51
1999,KWP Poznań,35-39,54
1999,KSP Warszawa,35-39,5
1999,Polska,35-39,456
2000,KWP Kraków,35-39,43
2000,KWP Opole,35-39,11
2000,KWP Katowice,35-39,43
2000,KWP Poznań,35-39,51
2000,KSP Warszawa,35-39,8
2000,Polska,35-39,440
2001,KWP Kraków,35-39,40
2001,KWP Opole,35-39,12
2001,KWP Katowice,35-39,37
2001,KWP Poznań,35-39,46
2001,KSP Warszawa,35-39,5
2001,Polska,35-39,409
2002,KWP Kraków,35-39,32
2002,KWP Opole,35-39,7
2002,KWP Katowice,35-39,41
2002,KWP Poznań,35-39,40
2002,KSP Warszawa,35-39,8
2002,Polska,35-39,408
2003,KWP Kraków,35-39,25
2003,KWP Opole,35-39,10
2003,KWP Katowice,35-39,49
2003,KWP Poznań,35-39,33
2003,KSP Warszawa,35-39,10
2003,Polska,35-39,360
2004,KWP Kraków,35-39,43
2004,KWP Opole,35-39,7
2004,KWP Katowice,35-39,33
2004,KWP Poznań,35-39,26
2004,KSP Warszawa,35-39,15
2004,Polska,35-39,351
2005,KWP Kraków,35-39,29
2005,KWP Opole,35-39,8
2005,KWP Katowice,35-39,30
2005,KWP Poznań,35-39,33
2005,KSP Warszawa,35-39,15
2005,Polska,35-39,326
2006,KWP Kraków,35-39,19
2006,KWP Opole,35-39,5
2006,KWP Katowice,35-39,39
2006,KWP Poznań,35-39,32
2006,KSP Warszawa,35-39,11
2006,Polska,35-39,306
2007,KWP Kraków,35-39,18
2007,KWP Opole,35-39,6
2007,KWP Katowice,35-39,31
2007,KWP Poznań,35-39,20
2007,KSP Warszawa,35-39,15
2007,Polska,35-39,251
2008,KWP Kraków,35-39,21
2008,KWP Opole,35-39,6
2008,KWP Katowice,35-39,28
2008,KWP Poznań,35-39,18
2008,KSP Warszawa,35-39,18
2008,Polska,35-39,266
2009,KWP Kraków,35-39,35
2009,KWP Opole,35-39,16
2009,KWP Katowice,35-39,34
2009,KWP Poznań,35-39,30
2009,KSP Warszawa,35-39,14
2009,Polska,35-39,372
2010,KWP Kraków,35-39,16
2010,KWP Opole,35-39,8
2010,KWP Katowice,35-39,48
2010,KWP Poznań,35-39,23
2010,KSP Warszawa,35-39,14
2010,Polska,35-39,303
2011,KWP Kraków,35-39,28
2011,KWP Opole,35-39,10
2011,KWP Katowice,35-39,47
2011,KWP Poznań,35-39,19
2011,KSP Warszawa,35-39,17
2011,Polska,35-39,339
2012,KWP Kraków,35-39,25
2012,KWP Opole,35-39,5
2012,KWP Katowice,35-39,28
2012,KWP Poznań,35-39,22
2012,KSP Warszawa,35-39,31
2012,Polska,35-39,316
1999,KWP Kraków,40-44,36
1999,KWP Opole,40-44,20
1999,KWP Katowice,40-44,59
1999,KWP Poznań,40-44,79
1999,KSP Warszawa,40-44,12
1999,Polska,40-44,640
2000,KWP Kraków,40-44,60
2000,KWP Opole,40-44,18
2000,KWP Katowice,40-44,62
2000,KWP Poznań,40-44,70
2000,KSP Warszawa,40-44,16
2000,Polska,40-44,664
2001,KWP Kraków,40-44,60
2001,KWP Opole,40-44,12
2001,KWP Katowice,40-44,68
2001,KWP Poznań,40-44,74
2001,KSP Warszawa,40-44,15
2001,Polska,40-44,600
2002,KWP Kraków,40-44,63
