Year,Garnizon,Age,Suicides
2001,KWP Poznań,55-59,39
2001,KSP Warszawa,55-59,5
2001,Polska,55-59,338
2002,KWP Kraków,55-59,50
2002,KWP Opole,55-59,15
2002,KWP Katowice,55-59,48
2002,KWP Poznań,55-59,38
2002,KSP Warszawa,55-59,11
2002,Polska,55-59,372
2003,KWP Kraków,55-59,45
2003,KWP Opole,55-59,7
2003,KWP Katowice,55-59,54
2003,KWP Poznań,55-59,33
2003,KSP Warszawa,55-59,9
2003,Polska,55-59,373
2004,KWP Kraków,55-59,54
2004,KWP Opole,55-59,14
2004,KWP Katowice,55-59,48
2004,KWP Poznań,55-59,28
2004,KSP Warszawa,55-59,31
2004,Polska,55-59,449
2005,KWP Kraków,55-59,39
2005,KWP Opole,55-59,12
2005,KWP Katowice,55-59,58
2005,KWP Poznań,55-59,45
2005,KSP Warszawa,55-59,15
2005,Polska,55-59,471
2006,KWP Kraków,55-59,42
2006,KWP Opole,55-59,12
2006,KWP Katowice,55-59,50
2006,KWP Poznań,55-59,41
2006,KSP Warszawa,55-59,12
2006,Polska,55-59,444
2007,KWP Kraków,55-59,33
2007,KWP Opole,55-59,7
2007,KWP Katowice,55-59,45
2007,KWP Poznań,55-59,35
2007,KSP Warszawa,55-59,17
2007,Polska,55-59,389
2008,KWP Kraków,55-59,25
2008,KWP Opole,55-59,13
2008,KWP Katowice,55-59,50
2008,KWP Poznań,55-59,34
2008,KSP Warszawa,55-59,23
2008,Polska,55-59,505
2009,KWP Kraków,55-59,53
2009,KWP Opole,55-59,14
2009,KWP Katowice,55-59,77
2009,KWP Poznań,55-59,41
2009,KSP Warszawa,55-59,27
2009,Polska,55-59,609
2010,KWP Kraków,55-59,44
2010,KWP Opole,55-59,15
2010,KWP Katowice,55-59,65
2010,KWP Poznań,55-59,46
2010,KSP Warszawa,55-59,24
2010,Polska,55-59,573
2011,KWP Kraków,55-59,58
2011,KWP Opole,55-59,12
2011,KWP Katowice,55-59,49
2011,KWP Poznań,55-59,41
2011,KSP Warszawa,55-59,25
2011,Polska,55-59,548
2012,KWP Kraków,55-59,48
2012,KWP Opole,55-59,19
2012,KWP Katowice,55-59,58
2012,KWP Poznań,55-59,34
2012,KSP Warszawa,55-59,44
2012,Polska,55-59,611
1999,KWP Kraków,60-64,15
1999,KWP Opole,60-64,16
1999,KWP Katowice,60-64,41
1999,KWP Poznań,60-64,27
1999,KSP Warszawa,60-64,7
1999,Polska,60-64,279
2000,KWP Kraków,60-64,40
2000,KWP Opole,60-64,15
2000,KWP Katowice,60-64,38
2000,KWP Poznań,60-64,38
2000,KSP Warszawa,60-64,9
2000,Polska,60-64,311
2001,KWP Kraków,60-64,40
2001,KWP Opole,60-64,15
2001,KWP Katowice,60-64,32
2001,KWP Poznań,60-64,35
2001,KSP Warszawa,60-64,5
2001,Polska,60-64,294
2002,KWP Kraków,60-64,41
2002,KWP Opole,60-64,10
2002,KWP Katowice,60-64,47
2002,KWP Poznań,60-64,26
2002,KSP Warszawa,60-64,2
2002,Polska,60-64,303
2003,KWP Kraków,60-64,28
2003,KWP Opole,60-64,6
2003,KWP Katowice,60-64,38
2003,KWP Poznań,60-64,21
2003,KSP Warszawa,60-64,8
2003,Polska,60-64,283
2004,KWP Kraków,60-64,30
2004,KWP Opole,60-64,9
2004,KWP Katowice,60-64,33
2004,KWP Poznań,60-64,26
2004,KSP Warszawa,60-64,14
2004,Polska,60-64,295
2005,KWP Kraków,60-64,32
2005,KWP Opole,60-64,4
2005,KWP Katowice,60-64,44
2005,KWP Poznań,60-64,20
2005,KSP Warszawa,60-64,17
2005,Polska,60-64,288
2006,KWP Kraków,60-64,21
2006,KWP Opole,60-64,4
2006,KWP Katowice,60-64,38
2006,KWP Poznań,60-64,18
2006,KSP Warszawa,60-64,5
2006,Polska,60-64,238
2007,KWP Kraków,60-64,18
2007,KWP Opole,60-64,7
2007,KWP Katowice,60-64,27
2007,KWP Poznań,60-64,34
2007,KSP Warszawa,60-64,10
2007,Polska,60-64,239
2008,KWP Kraków,60-64,27
2008,KWP Opole,60-64,3
2008,KWP Katowice,60-64,21
2008,KWP Poznań,60-64,27
2008,KSP Warszawa,60-64,15
2008,Polska,60-64,288
2009,KWP Kraków,60-64,31
2009,KWP Opole,60-64,10
2009,KWP Katowice,60-64,33
2009,KWP Poznań,60-64,34
2009,KSP Warszawa,60-64,17
2009,Polska,60-64,345
2010,KWP Kraków,60-64,20
2010,KWP Opole,60-64,7
2010,KWP Katowice,60-64,47
2010,KWP Poznań,60-64,27
2010,KSP Warszawa,60-64,17
2010,Polska,60-64,353
2011,KWP Kraków,60-64,25
2011,KWP Opole,60-64,5
2011,KWP Katowice,60-64,47
2011,KWP Poznań,60-64,16
2011,KSP Warszawa,60-64,14
2011,Polska,60-64,331
2012,KWP Kraków,60-64,25
2012,KWP Opole,60-64,13
2012,KWP Katowice,60-64,43
2012,KWP Poznań,60-64,29
2012,KSP Warszawa,60-64,26
2012,Polska,60-64,443
1999,KWP Kraków,65-69,19
1999,KWP Opole,65-69,15
1999,KWP Katowice,65-69,16
1999,KWP Poznań,65-69,33
1999,KSP Warszawa,65-69,6
1999,Polska,65-69,235
2000,KWP Kraków,65-69,29
2000,KWP Opole,65-69,11
2000,KWP Katowice,65-69,24
2000,KWP Poznań,65-69,27
2000,KSP Warszawa,65-69,6
2000,Polska,65-69,246
2001,KWP Kraków,65-69,25
2001,KWP Opole,65-69,7
2001,KWP Katowice,65-69,22
2001,KWP Poznań,65-69,26
2001,KSP Warszawa,65-69,3
2001,Polska,65-69,224
2002,KWP Kraków,65-69,30
2002,KWP Opole,65-69,10
2002,KWP Katowice,65-69,34
2002,KWP Poznań,65-69,30
2002,KSP Warszawa,65-69,6
2002,Polska,65-69,294
2003,KWP Kraków,65-69,32
2003,KWP Opole,65-69,10
2003,KWP Katowice,65-69,30
2003,KWP Poznań,65-69,22
2003,KSP Warszawa,65-69,9
2003,Polska,65-69,249
2004,KWP Kraków,65-69,23
2004,KWP Opole,65-69,11
2004,KWP Katowice,65-69,25
2004,KWP Poznań,65-69,21
2004,KSP Warszawa,65-69,10
2004,Polska,65-69,240
2005,KWP Kraków,65-69,23
2005,KWP Opole,65-69,10
2005,KWP Katowice,65-69,31
2005,KWP Poznań,65-69,17
2005,KSP Warszawa,65-69,8
2005,Polska,65-69,221
2006,KWP Kraków,65-69,18
2006,KWP Opole,65-69,13
2006,KWP Katowice,65-69,20
2006,KWP Poznań,65-69,16
2006,KSP Warszawa,65-69,3
2006,Polska,65-69,203
2007,KWP Kraków,65-69,12
2007,KWP Opole,65-69,6
2007,KWP Katowice,65-69,24
2007,KWP Poznań,65-69,22
2007,KSP Warszawa,65-69,3
2007,Polska,65-69,186
2008,KWP Kraków,65-69,14
2008,KWP Opole,65-69,4
2008,KWP Katowice,65-69,26
2008,KWP Poznań,65-69,17
2008,KSP Warszawa,65-69,6
2008,Polska,65-69,197
2009,KWP Kraków,65-69,26
2009,KWP Opole,65-69,7
2009,KWP Katowice,65-69,21
2009,KWP Poznań,65-69,21
2009,KSP Warszawa,65-69,7
2009,Polska,65-69,219
2010,KWP Kraków,65-69,22
2010,KWP Opole,65-69,3
2010,KWP Katowice,65-69,31
2010,KWP Poznań,65-69,11
2010,KSP Warszawa,65-69,11
2010,Polska,65-69,209
2011,KWP Kraków,65-69,19
2011,KWP Opole,65-69,1
2011,KWP Katowice,65-69,19
2011,KWP Poznań,65-69,14
2011,KSP Warszawa,65-69,5
2011,Polska,65-69,151
2012,KWP Kraków,65-69,19
2012,KWP Opole,65-69,2
2012,KWP Katowice,65-69,25
2012,KWP Poznań,65-69,10
2012,KSP Warszawa,65-69,15
2012,Polska,65-69,213
1999,KWP Kraków,70-74,8
1999,KWP Opole,70-74,8
1999,KWP Katowice,70-74,12
1999,KWP Poznań,70-74,23
1999,KSP Warszawa,70-74,3
1999,Polska,70-74,167
2000,KWP Kraków,70-74,18
2000,KWP Opole,70-74,3
2000,KWP Katowice,70-74,12
2000,KWP Poznań,70-74,21
2000,KSP Warszawa,70-74,5
2000,Polska,70-74,174
2001,KWP Kraków,70-74,22
2001,KWP Opole,70-74,3
2001,KWP Katowice,70-74,20
2001,KWP Poznań,70-74,26
2001,KSP Warszawa,70-74,4
2001,Polska,70-74,208
2002,KWP Kraków,70-74,36
2002,KWP Opole,70-74,7
2002,KWP Katowice,70-74,16
2002,KWP Poznań,70-74,13
2002,KSP Warszawa,70-74,3
2002,Polska,70-74,214
2003,KWP Kraków,70-74,14
2003,KWP Opole,70-74,11
2003,KWP Katowice,70-74,15
2003,KWP Poznań,70-74,13
2003,KSP Warszawa,70-74,5
2003,Polska,70-74,173
2004,KWP Kraków,70-74,18
2004,KWP Opole,70-74,6
2004,KWP Katowice,70-74,24
2004,KWP Poznań,70-74,17
2004,KSP Warszawa,70-74,14
2004,Polska,70-74,214
2005,KWP Kraków,70-74,14
2005,KWP Opole,70-74,7
2005,KWP Katowice,70-74,14
2005,KWP Poznań,70-74,14
2005,KSP Warszawa,70-74,12
2005,Polska,70-74,195
2006,KWP Kraków,70-74,11
2006,KWP Opole,70-74,3
2006,KWP Katowice,70-74,31
2006,KWP Poznań,70-74,16
2006,KSP Warszawa,70-74,8
2006,Polska,70-74,168
2007,KWP Kraków,70-74,16
2007,KWP Opole,70-74,4
2007,KWP Katowice,70-74,22
2007,KWP Poznań,70-74,25
2007,KSP Warszawa,70-74,6
2007,Polska,70-74,156
2008,KWP Kraków,70-74,21
2008,KWP Opole,70-74,4
2008,KWP Katowice,70-74,22
2008,KWP Poznań,70-74,8
2008,KSP Warszawa,70-74,6
2008,Polska,70-74,161
2009,KWP Kraków,70-74,10
2009,KWP Opole,70-74,4
2009,KWP Katowice,70-74,18
2009,KWP Poznań,70-74,12
2009,KSP Warszawa,70-74,6
2009,Polska,70-74,153
2010,KWP Kraków,70-74,15
2010,KWP Opole,70-74,6
2010,KWP Katowice,70-74,20
2010,KWP Poznań,70-74,10
2010,KSP Warszawa,70-74,5
2010,Polska,70-74,147
2011,KWP Kraków,70-74,18
2011,KWP Opole,70-74,8
2011,KWP Katowice,70-74,19
2011,KWP Poznań,70-74,7
2011,KSP Warszawa,70-74,5
2011,Polska,70-74,143
2012,KWP Kraków,70-74,16
2012,KWP Opole,70-74,3
2012,KWP Katowice,70-74,19
2012,KWP Poznań,70-74,5
2012,KSP Warszawa,70-74,10
2012,Polska,70-74,137
1999,KWP Kraków,75-79,4
1999,KWP Opole,75-79,1
1999,KWP Katowice,75-79,14
1999,KWP Poznań,75-79,12
1999,KSP Warszawa,75-79,2
1999,Polska,75-79,97
2000,KWP Kraków,75-79,11
2000,KWP Opole,75-79,5
2000,KWP Katowice,75-79,6
2000,KWP Poznań,75-79,20
2000,KSP Warszawa,75-79,1
2000,Polska,75-79,137
2001,KWP Kraków,75-79,13
2001,KWP Opole,75-79,2
2001,KWP Katowice,75-79,1
2001,KWP Poznań,75-79,15
2001,KSP Warszawa,75-79,2
2001,Polska,75-79,118
2002,KWP Kraków,75-79,21
2002,KWP Opole,75-79,2
2002,KWP Katowice,75-79,11
2002,KWP Poznań,75-79,6
2002,KSP Warszawa,75-79,1
2002,Polska,75-79,108
2003,KWP Kraków,75-79,13
2003,KWP Opole,75-79,8
2003,KWP Katowice,75-79,9
2003,KWP Poznań,75-79,12
2003,KSP Warszawa,75-79,5
2003,Polska,75-79,114
2004,KWP Kraków,75-79,12
2004,KWP Opole,75-79,4
2004,KWP Katowice,75-79,19
2004,KWP Poznań,75-79,13
2004,KSP Warszawa,75-79,7
2004,Polska,75-79,127
2005,KWP Kraków,75-79,11
2005,KWP Opole,75-79,3
2005,KWP Katowice,75-79,8
2005,KWP Poznań,75-79,9
2005,KSP Warszawa,75-79,7
2005,Polska,75-79,117
2006,KWP Kraków,75-79,11
2006,KWP Opole,75-79,7
2006,KWP Katowice,75-79,10
2006,KWP Poznań,75-79,10
2006,KSP Warszawa,75-79,9
2006,Polska,75-79,132
2007,KWP Kraków,75-79,13
2007,KWP Opole,75-79,3
2007,KWP Katowice,75-79,11
2007,KWP Poznań,75-79,9
2007,KSP Warszawa,75-79,4
2007,Polska,75-79,110
2008,KWP Kraków,75-79,9
2008,KWP Opole,75-79,2
2008,KWP Katowice,75-79,11
2008,KWP Poznań,75-79,7
2008,KSP Warszawa,75-79,6
2008,Polska,75-79,127
2009,KWP Kraków,75-79,10
2009,KWP Opole,75-79,3
2009,KWP Katowice,75-79,19
2009,KWP Poznań,75-79,9
2009,KSP Warszawa,75-79,10
2009,Polska,75-79,120
2010,KWP Kraków,75-79,14
2010,KWP Opole,75-79,2
2010,KWP Katowice,75-79,13
2010,KWP Poznań,75-79,7
2010,KSP Warszawa,75-79,5
2010,Polska,75-79,113
2011,KWP Kraków,75-79,6
2011,KWP Opole,75-79,1
2011,KWP Katowice,75-79,9
2011,KWP Poznań,75-79,9
2011,KSP Warszawa,75-79,6
2011,Polska,75-79,106
2012,KWP Kraków,75-79,11
2012,KWP Opole,75-79,7
2012,KWP Katowice,75-79,16
2012,KWP Poznań,75-79,11
2012,KSP Warszawa,75-79,8
2012,Polska,75-79,130
1999,KWP Kraków,80-84,3
1999,KWP Opole,80-84,1
1999,KWP Katowice,80-84,6
1999,KWP Poznań,80-84,6
1999,KSP Warszawa,80-84,2
1999,Polska,80-84,56
2000,KWP Kraków,80-84,6
2000,KWP Opole,80-84,1
2000,KWP Katowice,80-84,6
2000,KWP Poznań,80-84,9
2000,KSP Warszawa,80-84,0
2000,Polska,80-84,62
2001,KWP Kraków,80-84,9
2001,KWP Opole,80-84,1
2001,KWP Katowice,80-84,3
2001,KWP Poznań,80-84,6
2001,KSP Warszawa,80-84,2
2001,Polska,80-84,53
2002,KWP Kraków,80-84,8
2002,KWP Opole,80-84,1
2002,KWP Katowice,80-84,5
2002,KWP Poznań,80-84,4
2002,KSP Warszawa,80-84,1
2002,Polska,80-84,57
2003,KWP Kraków,80-84,4
2003,KWP Opole,80-84,1
2003,KWP Katowice,80-84,8
2003,KWP Poznań,80-84,2
2003,KSP Warszawa,80-84,2
2003,Polska,80-84,56
2004,KWP Kraków,80-84,5
2004,KWP Opole,80-84,0
2004,KWP Katowice,80-84,3
2004,KWP Poznań,80-84,7
2004,KSP Warszawa,80-84,8
2004,Polska,80-84,67
2005,KWP Kraków,80-84,7
2005,KWP Opole,80-84,2
2005,KWP Katowice,80-84,7
2005,KWP Poznań,80-84,5
2005,KSP Warszawa,80-84,4
2005,Polska,80-84,75
2006,KWP Kraków,80-84,9
2006,KWP Opole,80-84,0
2006,KWP Katowice,80-84,10
2006,KWP Poznań,80-84,10
2006,KSP Warszawa,80-84,6
2006,Polska,80-84,89
2007,KWP Kraków,80-84,5
2007,KWP Opole,80-84,1
2007,KWP Katowice,80-84,8
2007,KWP Poznań,80-84,8
2007,KSP Warszawa,80-84,2
2007,Polska,80-84,68
2008,KWP Kraków,80-84,6
2008,KWP Opole,80-84,4
2008,KWP Katowice,80-84,2
2008,KWP Poznań,80-84,9
2008,KSP Warszawa,80-84,9
2008,Polska,80-84,93
2009,KWP Kraków,80-84,13
2009,KWP Opole,80-84,3
2009,KWP Katowice,80-84,6
2009,KWP Poznań,80-84,2
2009,KSP Warszawa,80-84,6
2009,Polska,80-84,85
2010,KWP Kraków,80-84,13
2010,KWP Opole,80-84,2
2010,KWP Katowice,80-84,4
2010,KWP Poznań,80-84,3
2010,KSP Warszawa,80-84,8
2010,Polska,80-84,89
2011,KWP Kraków,80-84,9
2011,KWP Opole,80-84,3
2011,KWP Katowice,80-84,9
2011,KWP Poznań,80-84,4
2011,KSP Warszawa,80-84,2
2011,Polska,80-84,71
2012,KWP Kraków,80-84,10
2012,KWP Opole,80-84,2
2012,KWP Katowice,80-84,11
2012,KWP Poznań,80-84,8
2012,KSP Warszawa,80-84,7
2012,Polska,80-84,93
1999,KWP Kraków,85+,2
1999,KWP Opole,85+,3
1999,KWP Katowice,85+,7
1999,KWP Poznań,85+,4
1999,KSP Warszawa,85+,0
1999,Polska,85+,37
2000,KWP Kraków,85+,5
2000,KWP Opole,85+,0
2000,KWP Katowice,85+,6
2000,KWP Poznań,85+,6
2000,KSP Warszawa,85+,5
2000,Polska,85+,60
2001,KWP Kraków,85+,3
2001,KWP Opole,85+,3
2001,KWP Katowice,85+,2
2001,KWP Poznań,85+,3
2001,KSP Warszawa,85+,0
2001,Polska,85+,35
2002,KWP Kraków,85+,7
2002,KWP Opole,85+,2
2002,KWP Katowice,85+,7
2002,KWP Poznań,85+,6
2002,KSP Warszawa,85+,1
2002,Polska,85+,64
2003,KWP Kraków,85+,5
2003,KWP Opole,85+,2
2003,KWP Katowice,85+,4
2003,KWP Poznań,85+,1
2003,KSP Warszawa,85+,5
2003,Polska,85+,52
2004,KWP Kraków,85+,4
2004,KWP Opole,85+,0
2004,KWP Katowice,85+,4
2004,KWP Poznań,85+,6
2004,KSP Warszawa,85+,3
2004,Polska,85+,40
2005,KWP Kraków,85+,2
2005,KWP Opole,85+,1
2005,KWP Katowice,85+,5
2005,KWP Poznań,85+,6
2005,KSP Warszawa,85+,5
2005,Polska,85+,39
2006,KWP Kraków,85+,1
2006,KWP Opole,85+,1
2006,KWP Katowice,85+,1
2006,KWP Poznań,85+,0
2006,KSP Warszawa,85+,4
2006,Polska,85+,36
2007,KWP Kraków,85+,2
2007,KWP Opole,85+,2
2007,KWP Katowice,85+,7
2007,KWP Poznań,85+,5
2007,KSP Warszawa,85+,3
2007,Polska,85+,52
2008,KWP Kraków,85+,3
2008,KWP Opole,85+,3
2008,KWP Katowice,85+,1
2008,KWP Poznań,85+,4
2008,KSP Warszawa,85+,3
2008,Polska,85+,50
2009,KWP Kraków,85+,4
2009,KWP Opole,85+,0
2009,KWP Katowice,85+,5
2009,KWP Poznań,85+,5
2009,KSP Warszawa,85+,3
2009,Polska,85+,60
2010,KWP Kraków,85+,8
2010,KWP Opole,85+,1
2010,KWP Katowice,85+,1
2010,KWP Poznań,85+,4
2010,KSP Warszawa,85+,0
2010,Polska,85+,57
2011,KWP Kraków,85+,1
2011,KWP Opole,85+,1
2011,KWP Katowice,85+,4
2011,KWP Poznań,85+,5
2011,KSP Warszawa,85+,5
2011,Polska,85+,53
2012,KWP Kraków,85+,3
2012,KWP Opole,85+,1
2012,KWP Katowice,85+,12
2012,KWP Poznań,85+,3
2012,KSP Warszawa,85+,5
2012,Polska,85+,79
2013,KWP Katowice,0-6,0
2013,KWP Kraków,0-6,0
2013,KWP Opole,0-6,0
2013,KWP Poznań,0-6,0
2013,KSP Warszawa,0-6,0
2013,Polska,0-6,0
2014,KWP Katowice,0-6,0
2014,KWP Kraków,0-6,0
2014,KWP Opole,0-6,0
2014,KWP Poznań,0-6,0
2014,KSP Warszawa,0-6,0
2014,Polska,0-6,0
2015,KWP Katowice,0-6,0
2015,KWP Kraków,0-6,0
2015,KWP Opole,0-6,0
2015,KWP Poznań,0-6,0
2015,KSP Warszawa,0-6,0
2015,Polska,0-6,0
2016,KWP Katowice,0-6,0
2016,KWP Kraków,0-6,0
2016,KWP Opole,0-6,0
2016,KWP Poznań,0-6,0
2016,KSP Warszawa,0-6,0
2016,Polska,0-6,0
2013,KWP Katowice,7-12,2
2013,KWP Kraków,7-12,1
2013,KWP Opole,7-12,1
2013,KWP Poznań,7-12,3
2013,KSP Warszawa,7-12,1
2013,Polska,7-12,9
2014,KWP Katowice,7-12,2
2014,KWP Kraków,7-12,0
2014,KWP Opole,7-12,1
2014,KWP Poznań,7-12,1
2014,KSP Warszawa,7-12,0
2014,Polska,7-12,14
2015,KWP Katowice,7-12,1
2015,KWP Kraków,7-12,1
2015,KWP Opole,7-12,1
2015,KWP Poznań,7-12,1
2015,KSP Warszawa,7-12,0
2015,Polska,7-12,12
2016,KWP Katowice,7-12,1
2016,KWP Kraków,7-12,2
2016,KWP Opole,7-12,1
2016,KWP Poznań,7-12,0
2016,KSP Warszawa,7-12,0
2016,Polska,7-12,9
2013,KWP Katowice,13-18,44
2013,KWP Kraków,13-18,32
2013,KWP Opole,13-18,12
2013,KWP Poznań,13-18,14
2013,KSP Warszawa,13-18,11
2013,Polska,13-18,348
2014,KWP Katowice,13-18,52
2014,KWP Kraków,13-18,45
2014,KWP Opole,13-18,9
2014,KWP Poznań,13-18,21
2014,KSP Warszawa,13-18,14
2014,Polska,13-18,428
2015,KWP Katowice,13-18,72
2015,KWP Kraków,13-18,59
2015,KWP Opole,13-18,11
2015,KWP Poznań,13-18,17
2015,KSP Warszawa,13-18,20
2015,Polska,13-18,469
2016,KWP Katowice,13-18,82
2016,KWP Kraków,13-18,51
2016,KWP Opole,13-18,12
2016,KWP Poznań,13-18,24
2016,KSP Warszawa,13-18,5
2016,Polska,13-18,466
2013,KWP Katowice,19-24,103
2013,KWP Kraków,19-24,77
2013,KWP Opole,19-24,16
2013,KWP Poznań,19-24,43
2013,KSP Warszawa,19-24,37
2013,Polska,19-24,772
2014,KWP Katowice,19-24,166
2014,KWP Kraków,19-24,118
2014,KWP Opole,19-24,27
2014,KWP Poznań,19-24,68
2014,KSP Warszawa,19-24,66
2014,Polska,19-24,1172
2015,KWP Katowice,19-24,170
2015,KWP Kraków,19-24,97
2015,KWP Opole,19-24,22
2015,KWP Poznań,19-24,57
2015,KSP Warszawa,19-24,35
2015,Polska,19-24,1080
2016,KWP Katowice,19-24,155
2016,KWP Kraków,19-24,114
2016,KWP Opole,19-24,20
2016,KWP Poznań,19-24,43
2016,KSP Warszawa,19-24,56
2016,Polska,19-24,978
2013,KWP Katowice,25-29,117
2013,KWP Kraków,25-29,50
2013,KWP Opole,25-29,21
2013,KWP Poznań,25-29,34
2013,KSP Warszawa,25-29,43
2013,Polska,25-29,737
2014,KWP Katowice,25-29,143
2014,KWP Kraków,25-29,82
2014,KWP Opole,25-29,23
2014,KWP Poznań,25-29,48
2014,KSP Warszawa,25-29,39
2014,Polska,25-29,960
2015,KWP Katowice,25-29,157
2015,KWP Kraków,25-29,104
2015,KWP Opole,25-29,20
2015,KWP Poznań,25-29,48
2015,KSP Warszawa,25-29,42
2015,Polska,25-29,1042
2016,KWP Katowice,25-29,176
2016,KWP Kraków,25-29,97
2016,KWP Opole,25-29,33
2016,KWP Poznań,25-29,46
2016,KSP Warszawa,25-29,45
2016,Polska,25-29,1006
2013,KWP Katowice,30-34,87
2013,KWP Kraków,30-34,71
2013,KWP Opole,30-34,21
2013,KWP Poznań,30-34,39
2013,KSP Warszawa,30-34,47
2013,Polska,30-34,756
2014,KWP Katowice,30-34,154
2014,KWP Kraków,30-34,107
2014,KWP Opole,30-34,21
2014,KWP Poznań,30-34,48
2014,KSP Warszawa,30-34,38
2014,Polska,30-34,1005
2015,KWP Katowice,30-34,190
2015,KWP Kraków,30-34,83
2015,KWP Opole,30-34,27
2015,KWP Poznań,30-34,48
2015,KSP Warszawa,30-34,58
2015,Polska,30-34,1078
2016,KWP Katowice,30-34,153
2016,KWP Kraków,30-34,111
2016,KWP Opole,30-34,27
2016,KWP Poznań,30-34,61
2016,KSP Warszawa,30-34,43
2016,Polska,30-34,1072
2013,KWP Katowice,35-39,105
2013,KWP Kraków,35-39,51
2013,KWP Opole,35-39,23
2013,KWP Poznań,35-39,34
2013,KSP Warszawa,35-39,40
2013,Polska,35-39,740
2014,KWP Katowice,35-39,137
2014,KWP Kraków,35-39,84
2014,KWP Opole,35-39,18
2014,KWP Poznań,35-39,64
2014,KSP Warszawa,35-39,47
2014,Polska,35-39,934
2015,KWP Katowice,35-39,168
2015,KWP Kraków,35-39,77
2015,KWP Opole,35-39,28
2015,KWP Poznań,35-39,59
2015,KSP Warszawa,35-39,46
2015,Polska,35-39,995
2016,KWP Katowice,35-39,151
2016,KWP Kraków,35-39,81
2016,KWP Opole,35-39,19
2016,KWP Poznań,35-39,40
2016,KSP Warszawa,35-39,47
2016,Polska,35-39,949
2013,KWP Katowice,40-44,112
2013,KWP Kraków,40-44,39
2013,KWP Opole,40-44,13
2013,KWP Poznań,40-44,44
2013,KSP Warszawa,40-44,38
2013,Polska,40-44,644
2014,KWP Katowice,40-44,117
2014,KWP Kraków,40-44,80
2014,KWP Opole,40-44,15
2014,KWP Poznań,40-44,52
2014,KSP Warszawa,40-44,37
2014,Polska,40-44,864
2015,KWP Katowice,40-44,133
2015,KWP Kraków,40-44,83
2015,KWP Opole,40-44,22
2015,KWP Poznań,40-44,65
2015,KSP Warszawa,40-44,39
2015,Polska,40-44,879
2016,KWP Katowice,40-44,122
2016,KWP Kraków,40-44,94
2016,KWP Opole,40-44,17
2016,KWP Poznań,40-44,54
2016,KSP Warszawa,40-44,49
2016,Polska,40-44,888
2013,KWP Katowice,45-49,101
2013,KWP Kraków,45-49,50
2013,KWP Opole,45-49,20
2013,KWP Poznań,45-49,40
2013,KSP Warszawa,45-49,24
2013,Polska,45-49,625
2014,KWP Katowice,45-49,93
2014,KWP Kraków,45-49,81
2014,KWP Opole,45-49,22
2014,KWP Poznań,45-49,49
2014,KSP Warszawa,45-49,29
2014,Polska,45-49,735
2015,KWP Katowice,45-49,116
2015,KWP Kraków,45-49,63
2015,KWP Opole,45-49,16
2015,KWP Poznań,45-49,34
2015,KSP Warszawa,45-49,30
2015,Polska,45-49,727
2016,KWP Katowice,45-49,101
2016,KWP Kraków,45-49,81
2016,KWP Opole,45-49,20
2016,KWP Poznań,45-49,55
2016,KSP Warszawa,45-49,33
2016,Polska,45-49,777
2013,KWP Katowice,50-54,108
2013,KWP Kraków,50-54,61
2013,KWP Opole,50-54,24
2013,KWP Poznań,50-54,46
2013,KSP Warszawa,50-54,35
2013,Polska,50-54,775
2014,KWP Katowice,50-54,118
2014,KWP Kraków,50-54,100
2014,KWP Opole,50-54,22
2014,KWP Poznań,50-54,58
2014,KSP Warszawa,50-54,50
2014,Polska,50-54,890
2015,KWP Katowice,50-54,117
2015,KWP Kraków,50-54,85
2015,KWP Opole,50-54,16
2015,KWP Poznań,50-54,56
2015,KSP Warszawa,50-54,40
2015,Polska,50-54,838
2016,KWP Katowice,50-54,108
2016,KWP Kraków,50-54,80
2016,KWP Opole,50-54,19
2016,KWP Poznań,50-54,48
2016,KSP Warszawa,50-54,34
2016,Polska,50-54,787
2013,KWP Katowice,55-59,98
2013,KWP Kraków,55-59,67
2013,KWP Opole,55-59,25
2013,KWP Poznań,55-59,64
2013,KSP Warszawa,55-59,62
2013,Polska,55-59,892
2014,KWP Katowice,55-59,117
2014,KWP Kraków,55-59,96
2014,KWP Opole,55-59,21
2014,KWP Poznań,55-59,52
2014,KSP Warszawa,55-59,53
2014,Polska,55-59,930
2015,KWP Katowice,55-59,109
2015,KWP Kraków,55-59,70
2015,KWP Opole,55-59,24
2015,KWP Poznań,55-59,75
2015,KSP Warszawa,55-59,52
2015,Polska,55-59,890
2016,KWP Katowice,55-59,107
2016,KWP Kraków,55-59,91
2016,KWP Opole,55-59,27
2016,KWP Poznań,55-59,61
2016,KSP Warszawa,55-59,42
2016,Polska,55-59,878
2013,KWP Katowice,60-64,83
2013,KWP Kraków,60-64,53
2013,KWP Opole,60-64,19
2013,KWP Poznań,60-64,32
2013,KSP Warszawa,60-64,35
2013,Polska,60-64,623
2014,KWP Katowice,60-64,90
2014,KWP Kraków,60-64,85
2014,KWP Opole,60-64,21
2014,KWP Poznań,60-64,59
2014,KSP Warszawa,60-64,44
2014,Polska,60-64,762
2015,KWP Katowice,60-64,97
2015,KWP Kraków,60-64,66
2015,KWP Opole,60-64,16
2015,KWP Poznań,60-64,57
2015,KSP Warszawa,60-64,39
2015,Polska,60-64,754
2016,KWP Katowice,60-64,107
2016,KWP Kraków,60-64,69
2016,KWP Opole,60-64,11
2016,KWP Poznań,60-64,45
2016,KSP Warszawa,60-64,43
