Year,Garnizon,Total,Age,Suicides,Result
2008,KWP Wrocław,311,7-12,0,Attempted
2008,KWP Bydgoszcz,323,7-12,0,Attempted
2008,KWP Lublin,398,7-12,0,Attempted
2008,KWP Gorzów Wielk.,201,7-12,1,Attempted
2008,KWP Łódź,379,7-12,0,Attempted
2008,KWP Kraków,369,7-12,0,Attempted
2008,KWP Radom,487,7-12,0,Attempted
2008,KWP Opole,157,7-12,0,Attempted
2008,KWP Rzeszów,239,7-12,2,Attempted
2008,KWP Białystok,247,7-12,0,Attempted
2008,KWP Gdańsk,287,7-12,1,Attempted
2008,KWP Katowice,536,7-12,1,Attempted
2008,KWP Kielce,135,7-12,0,Attempted
2008,KWP Olsztyn,361,7-12,1,Attempted
2008,KWP Poznań,367,7-12,2,Attempted
2008,KWP Szczecin,226,7-12,0,Attempted
2008,KSP Warszawa,214,7-12,1,Attempted
2008,Polska,5237,7-12,9,Attempted
2009,KWP Wrocław,295,7-12,0,Attempted
2009,KWP Bydgoszcz,333,7-12,0,Attempted
2009,KWP Lublin,390,7-12,1,Attempted
2009,KWP Gorzów Wielk.,285,7-12,0,Attempted
2009,KWP Łódź,471,7-12,1,Attempted
2009,KWP Kraków,463,7-12,0,Attempted
2009,KWP Radom,452,7-12,0,Attempted
2009,KWP Opole,185,7-12,0,Attempted
2009,KWP Rzeszów,242,7-12,0,Attempted
2009,KWP Białystok,251,7-12,0,Attempted
2009,KWP Gdańsk,341,7-12,0,Attempted
2009,KWP Katowice,712,7-12,0,Attempted
2009,KWP Kielce,155,7-12,0,Attempted
2009,KWP Olsztyn,395,7-12,1,Attempted
2009,KWP Poznań,451,7-12,0,Attempted
2009,KWP Szczecin,238,7-12,0,Attempted
2009,KSP Warszawa,254,7-12,2,Attempted
2009,Polska,5913,7-12,5,Attempted
2010,KWP Wrocław,266,7-12,0,Attempted
2010,KWP Bydgoszcz,291,7-12,0,Attempted
2010,KWP Lublin,359,7-12,0,Attempted
2010,KWP Gorzów Wielk.,183,7-12,0,Attempted
2010,KWP Łódź,440,7-12,1,Attempted
2010,KWP Kraków,467,7-12,1,Attempted
2010,KWP Radom,416,7-12,2,Attempted
2010,KWP Opole,186,7-12,0,Attempted
2010,KWP Rzeszów,252,7-12,0,Attempted
2010,KWP Białystok,234,7-12,1,Attempted
2010,KWP Gdańsk,268,7-12,0,Attempted
2010,KWP Katowice,698,7-12,0,Attempted
2010,KWP Kielce,208,7-12,0,Attempted
2010,KWP Olsztyn,373,7-12,0,Attempted
2010,KWP Poznań,374,7-12,1,Attempted
2010,KWP Szczecin,206,7-12,0,Attempted
2010,KSP Warszawa,235,7-12,0,Attempted
2010,Polska,5456,7-12,6,Attempted
2011,KWP Wrocław,241,7-12,0,Attempted
2011,KWP Bydgoszcz,330,7-12,0,Attempted
2011,KWP Lublin,313,7-12,1,Attempted
2011,KWP Gorzów Wielk.,214,7-12,0,Attempted
2011,KWP Łódź,436,7-12,1,Attempted
2011,KWP Kraków,439,7-12,0,Attempted
2011,KWP Radom,356,7-12,0,Attempted
2011,KWP Opole,141,7-12,0,Attempted
2011,KWP Rzeszów,197,7-12,0,Attempted
2011,KWP Białystok,220,7-12,0,Attempted
2011,KWP Gdańsk,260,7-12,0,Attempted
2011,KWP Katowice,695,7-12,0,Attempted
2011,KWP Kielce,172,7-12,0,Attempted
2011,KWP Olsztyn,336,7-12,0,Attempted
2011,KWP Poznań,326,7-12,1,Attempted
2011,KWP Szczecin,245,7-12,1,Attempted
2011,KSP Warszawa,203,7-12,1,Attempted
2011,Polska,5124,7-12,5,Attempted
2012,KWP Wrocław,262,7-12,0,Attempted
2012,KWP Bydgoszcz,348,7-12,0,Attempted
2012,KWP Lublin,302,7-12,0,Attempted
2012,KWP Gorzów Wielk.,248,7-12,0,Attempted
2012,KWP Łódź,511,7-12,0,Attempted
2012,KWP Kraków,468,7-12,1,Attempted
2012,KWP Radom,350,7-12,0,Attempted
2012,KWP Opole,148,7-12,1,Attempted
2012,KWP Rzeszów,233,7-12,0,Attempted
2012,KWP Białystok,232,7-12,1,Attempted
2012,KWP Gdańsk,247,7-12,0,Attempted
2012,KWP Katowice,612,7-12,2,Attempted
2012,KWP Kielce,576,7-12,0,Attempted
2012,KWP Olsztyn,346,7-12,0,Attempted
2012,KWP Poznań,294,7-12,0,Attempted
2012,KWP Szczecin,229,7-12,0,Attempted
2012,KSP Warszawa,385,7-12,0,Attempted
2012,Polska,5791,7-12,5,Attempted
1999,KWP Wrocław,378,13-18,18,Attempted
1999,KWP Bydgoszcz,263,13-18,18,Attempted
1999,KWP Lublin,283,13-18,17,Attempted
1999,KWP Gorzów Wielk.,194,13-18,13,Attempted
1999,KWP Łódź,410,13-18,15,Attempted
1999,KWP Kraków,302,13-18,12,Attempted
1999,KWP Radom,403,13-18,22,Attempted
1999,KWP Opole,189,13-18,13,Attempted
1999,KWP Rzeszów,205,13-18,17,Attempted
1999,KWP Białystok,216,13-18,19,Attempted
1999,KWP Gdańsk,325,13-18,10,Attempted
1999,KWP Katowice,543,13-18,36,Attempted
1999,KWP Kielce,199,13-18,7,Attempted
1999,KWP Olsztyn,201,13-18,18,Attempted
1999,KWP Poznań,644,13-18,45,Attempted
1999,KWP Szczecin,313,13-18,29,Attempted
1999,KSP Warszawa,114,13-18,9,Attempted
1999,Polska,5182,13-18,318,Attempted
2000,KWP Wrocław,431,13-18,31,Attempted
2000,KWP Bydgoszcz,262,13-18,10,Attempted
2000,KWP Lublin,288,13-18,20,Attempted
2000,KWP Gorzów Wielk.,178,13-18,7,Attempted
2000,KWP Łódź,402,13-18,16,Attempted
2000,KWP Kraków,545,13-18,30,Attempted
2000,KWP Radom,439,13-18,23,Attempted
2000,KWP Opole,176,13-18,15,Attempted
2000,KWP Rzeszów,348,13-18,22,Attempted
2000,KWP Białystok,242,13-18,20,Attempted
2000,KWP Gdańsk,337,13-18,21,Attempted
2000,KWP Katowice,574,13-18,33,Attempted
2000,KWP Kielce,197,13-18,16,Attempted
2000,KWP Olsztyn,149,13-18,8,Attempted
2000,KWP Poznań,644,13-18,24,Attempted
2000,KWP Szczecin,305,13-18,30,Attempted
2000,KSP Warszawa,104,13-18,4,Attempted
2000,Polska,5621,13-18,330,Attempted
2001,KWP Wrocław,372,13-18,28,Attempted
2001,KWP Bydgoszcz,268,13-18,10,Attempted
2001,KWP Lublin,313,13-18,29,Attempted
2001,KWP Gorzów Wielk.,246,13-18,19,Attempted
2001,KWP Łódź,380,13-18,26,Attempted
2001,KWP Kraków,591,13-18,23,Attempted
2001,KWP Radom,464,13-18,19,Attempted
2001,KWP Opole,152,13-18,8,Attempted
2001,KWP Rzeszów,316,13-18,14,Attempted
2001,KWP Białystok,221,13-18,19,Attempted
2001,KWP Gdańsk,364,13-18,19,Attempted
2001,KWP Katowice,558,13-18,33,Attempted
2001,KWP Kielce,192,13-18,13,Attempted
2001,KWP Olsztyn,240,13-18,13,Attempted
2001,KWP Poznań,641,13-18,37,Attempted
2001,KWP Szczecin,301,13-18,23,Attempted
2001,KSP Warszawa,93,13-18,4,Attempted
2001,Polska,5712,13-18,337,Attempted
2002,KWP Wrocław,372,13-18,18,Attempted
2002,KWP Bydgoszcz,233,13-18,7,Attempted
2002,KWP Lublin,329,13-18,21,Attempted
