year,garnizon,education,suicides,outcome
2002,Wrocław,technical/professional,69,Attempted
2002,Wrocław,medium,40,Attempted
2002,Wrocław,higher,6,Attempted
2002,Bydgoszcz,basic incomplete,8,Attempted
2002,Bydgoszcz,basic,54,Attempted
2002,Bydgoszcz,technical/professional,56,Attempted
2002,Bydgoszcz,medium,19,Attempted
2002,Bydgoszcz,higher,4,Attempted
2002,Lublin,basic incomplete,17,Attempted
2002,Lublin,basic,105,Attempted
2002,Lublin,technical/professional,75,Attempted
2002,Lublin,medium,25,Attempted
2002,Lublin,higher,6,Attempted
2002,Gorzów Wlkp.,basic incomplete,2,Attempted
2002,Gorzów Wlkp.,basic,37,Attempted
2002,Gorzów Wlkp.,technical/professional,40,Attempted
2002,Gorzów Wlkp.,medium,16,Attempted
2002,Gorzów Wlkp.,higher,1,Attempted
2002,Łódź,basic incomplete,19,Attempted
2002,Łódź,basic,105,Attempted
2002,Łódź,technical/professional,79,Attempted
2002,Łódź,medium,28,Attempted
2002,Łódź,higher,5,Attempted
2002,Kraków,basic incomplete,10,Attempted
2002,Kraków,basic,127,Attempted
2002,Kraków,technical/professional,120,Attempted
2002,Kraków,medium,52,Attempted
2002,Kraków,higher,14,Attempted
2002,Radom,basic incomplete,21,Attempted
2002,Radom,basic,100,Attempted
2002,Radom,technical/professional,78,Attempted
2002,Radom,medium,31,Attempted
2002,Radom,higher,3,Attempted
2002,Opole,basic incomplete,5,Attempted
2002,Opole,basic,36,Attempted
2002,Opole,technical/professional,27,Attempted
2002,Opole,medium,6,Attempted
2002,Opole,higher,4,Attempted
2002,Rzeszów,basic incomplete,13,Attempted
2002,Rzeszów,basic,94,Attempted
2002,Rzeszów,technical/professional,96,Attempted
2002,Rzeszów,medium,40,Attempted
2002,Rzeszów,higher,12,Attempted
2002,Białystok,basic incomplete,23,Attempted
2002,Białystok,basic,59,Attempted
2002,Białystok,technical/professional,37,Attempted
2002,Białystok,medium,21,Attempted
2002,Białystok,higher,7,Attempted
2002,Gdańsk,basic incomplete,3,Attempted
2002,Gdańsk,basic,62,Attempted
2002,Gdańsk,technical/professional,59,Attempted
2002,Gdańsk,medium,17,Attempted
2002,Gdańsk,higher,3,Attempted
2002,Katowice,basic incomplete,11,Attempted
2002,Katowice,basic,90,Attempted
2002,Katowice,technical/professional,154,Attempted
2002,Katowice,medium,45,Attempted
2002,Katowice,higher,9,Attempted
2002,Kielce,basic incomplete,19,Attempted
2002,Kielce,basic,66,Attempted
2002,Kielce,technical/professional,60,Attempted
2002,Kielce,medium,17,Attempted
2002,Kielce,higher,1,Attempted
2002,Olsztyn,basic incomplete,12,Attempted
2002,Olsztyn,basic,80,Attempted
2002,Olsztyn,technical/professional,43,Attempted
2002,Olsztyn,medium,20,Attempted
2002,Olsztyn,higher,2,Attempted
2002,Poznań,basic incomplete,23,Attempted
2002,Poznań,basic,126,Attempted
2002,Poznań,technical/professional,162,Attempted
2002,Poznań,medium,42,Attempted
2002,Poznań,higher,14,Attempted
2002,Szczecin,basic incomplete,20,Attempted
2002,Szczecin,basic,66,Attempted
2002,Szczecin,technical/professional,70,Attempted
2002,Szczecin,medium,24,Attempted
2002,Szczecin,higher,5,Attempted
2002,Warszawa,basic incomplete,1,Attempted
2002,Warszawa,basic,15,Attempted
2002,Warszawa,technical/professional,18,Attempted
2002,Warszawa,medium,15,Attempted
2002,Warszawa,higher,4,Attempted
2003,Wrocław,basic incomplete,6,Attempted
2003,Wrocław,basic,74,Attempted
2003,Wrocław,technical/professional,81,Attempted
2003,Wrocław,medium,30,Attempted
2003,Wrocław,higher,13,Attempted
2003,Bydgoszcz,basic incomplete,3,Attempted
2003,Bydgoszcz,basic,36,Attempted
2003,Bydgoszcz,technical/professional,48,Attempted
2003,Bydgoszcz,medium,22,Attempted
2003,Bydgoszcz,higher,6,Attempted
2003,Lublin,basic incomplete,16,Attempted
2003,Lublin,basic,110,Attempted
2003,Lublin,technical/professional,74,Attempted
2003,Lublin,medium,32,Attempted
2003,Lublin,higher,5,Attempted
2003,Gorzów Wlkp.,basic incomplete,5,Attempted
2003,Gorzów Wlkp.,basic,29,Attempted
2003,Gorzów Wlkp.,technical/professional,18,Attempted
2003,Gorzów Wlkp.,medium,14,Attempted
2003,Gorzów Wlkp.,higher,4,Attempted
2003,Łódź,basic incomplete,10,Attempted
2003,Łódź,basic,91,Attempted
2003,Łódź,technical/professional,76,Attempted
2003,Łódź,medium,29,Attempted
2003,Łódź,higher,8,Attempted
2003,Kraków,basic incomplete,12,Attempted
2003,Kraków,basic,78,Attempted
2003,Kraków,technical/professional,113,Attempted
2003,Kraków,medium,35,Attempted
2003,Kraków,higher,8,Attempted
2003,Radom,basic incomplete,18,Attempted
2003,Radom,basic,93,Attempted
2003,Radom,technical/professional,50,Attempted
2003,Radom,medium,26,Attempted
2003,Radom,higher,5,Attempted
2003,Opole,basic incomplete,2,Attempted
2003,Opole,basic,25,Attempted
2003,Opole,technical/professional,33,Attempted
2003,Opole,medium,8,Attempted
2003,Opole,higher,6,Attempted
2003,Rzeszów,basic incomplete,7,Attempted
2003,Rzeszów,basic,67,Attempted
2003,Rzeszów,technical/professional,56,Attempted
2003,Rzeszów,medium,18,Attempted
2003,Rzeszów,higher,5,Attempted
2003,Białystok,basic incomplete,14,Attempted
2003,Białystok,basic,73,Attempted
2003,Białystok,technical/professional,49,Attempted
2003,Białystok,medium,26,Attempted
2003,Białystok,higher,9,Attempted
2003,Gdańsk,basic incomplete,5,Attempted
2003,Gdańsk,basic,43,Attempted
2003,Gdańsk,technical/professional,44,Attempted
2003,Gdańsk,medium,15,Attempted
2003,Gdańsk,higher,3,Attempted
2003,Katowice,basic incomplete,9,Attempted
2003,Katowice,basic,93,Attempted
2003,Katowice,technical/professional,142,Attempted
2003,Katowice,medium,46,Attempted
2003,Katowice,higher,9,Attempted
2003,Kielce,basic incomplete,6,Attempted
2003,Kielce,basic,47,Attempted
2003,Kielce,technical/professional,61,Attempted
2003,Kielce,medium,18,Attempted
2003,Kielce,higher,6,Attempted
2003,Olsztyn,basic incomplete,12,Attempted
2003,Olsztyn,basic,59,Attempted
2003,Olsztyn,technical/professional,40,Attempted
2003,Olsztyn,medium,18,Attempted
2003,Olsztyn,higher,4,Attempted
2003,Poznań,basic incomplete,14,Attempted
2003,Poznań,basic,87,Attempted
2003,Poznań,technical/professional,137,Attempted
2003,Poznań,medium,41,Attempted
2003,Poznań,higher,8,Attempted
2003,Szczecin,basic incomplete,13,Attempted
2003,Szczecin,basic,61,Attempted
2003,Szczecin,technical/professional,74,Attempted
2003,Szczecin,medium,20,Attempted
2003,Szczecin,higher,3,Attempted
2003,Warszawa,basic incomplete,2,Attempted
2003,Warszawa,basic,19,Attempted
2003,Warszawa,technical/professional,16,Attempted
2003,Warszawa,medium,40,Attempted
2003,Warszawa,higher,6,Attempted
2004,Wrocław,basic incomplete,10,Attempted
2004,Wrocław,basic,67,Attempted
2004,Wrocław,technical/professional,71,Attempted
2004,Wrocław,medium,25,Attempted
2004,Wrocław,higher,10,Attempted
2004,Bydgoszcz,basic incomplete,11,Attempted
2004,Bydgoszcz,basic,74,Attempted
2004,Bydgoszcz,technical/professional,72,Attempted
2004,Bydgoszcz,medium,18,Attempted
2004,Bydgoszcz,higher,5,Attempted
2004,Lublin,basic incomplete,23,Attempted
2004,Lublin,basic,123,Attempted
2004,Lublin,technical/professional,79,Attempted
2004,Lublin,medium,35,Attempted
2004,Lublin,higher,3,Attempted
2004,Gorzów Wlkp.,basic incomplete,5,Attempted
2004,Gorzów Wlkp.,basic,33,Attempted
2004,Gorzów Wlkp.,technical/professional,22,Attempted
2004,Gorzów Wlkp.,medium,9,Attempted
2004,Gorzów Wlkp.,higher,4,Attempted
2004,Łódź,basic incomplete,6,Attempted
2004,Łódź,basic,78,Attempted
2004,Łódź,technical/professional,78,Attempted
2004,Łódź,medium,25,Attempted
2004,Łódź,higher,5,Attempted
2004,Kraków,basic incomplete,9,Attempted
2004,Kraków,basic,80,Attempted
2004,Kraków,technical/professional,100,Attempted
2004,Kraków,medium,32,Attempted
2004,Kraków,higher,12,Attempted
2004,Radom,basic incomplete,11,Attempted
2004,Radom,basic,85,Attempted
2004,Radom,technical/professional,61,Attempted
2004,Radom,medium,15,Attempted
2004,Radom,higher,5,Attempted
2004,Opole,basic incomplete,4,Attempted
2004,Opole,basic,27,Attempted
2004,Opole,technical/professional,34,Attempted
2004,Opole,medium,8,Attempted
2004,Opole,higher,5,Attempted
2004,Rzeszów,basic incomplete,7,Attempted
2004,Rzeszów,basic,46,Attempted
2004,Rzeszów,technical/professional,55,Attempted
2004,Rzeszów,medium,29,Attempted
2004,Rzeszów,higher,10,Attempted
2004,Białystok,basic incomplete,9,Attempted
2004,Białystok,basic,48,Attempted
2004,Białystok,technical/professional,29,Attempted
2004,Białystok,medium,21,Attempted
2004,Białystok,higher,6,Attempted
2004,Gdańsk,basic incomplete,6,Attempted
2004,Gdańsk,basic,46,Attempted
2004,Gdańsk,technical/professional,27,Attempted
2004,Gdańsk,medium,9,Attempted
2004,Gdańsk,higher,10,Attempted
2004,Katowice,basic incomplete,10,Attempted
2004,Katowice,basic,78,Attempted
2004,Katowice,technical/professional,128,Attempted
2004,Katowice,medium,67,Attempted
2004,Katowice,higher,10,Attempted
2004,Kielce,basic incomplete,11,Attempted
2004,Kielce,basic,56,Attempted
2004,Kielce,technical/professional,86,Attempted
2004,Kielce,medium,34,Attempted
2004,Kielce,higher,4,Attempted
2004,Olsztyn,basic incomplete,1,Attempted
2004,Olsztyn,basic,71,Attempted
2004,Olsztyn,technical/professional,38,Attempted
2004,Olsztyn,medium,15,Attempted
2004,Olsztyn,higher,5,Attempted
2004,Poznań,basic incomplete,9,Attempted
2004,Poznań,basic,70,Attempted
2004,Poznań,technical/professional,124,Attempted
2004,Poznań,medium,39,Attempted
2004,Poznań,higher,8,Attempted
2004,Szczecin,basic incomplete,11,Attempted
2004,Szczecin,basic,65,Attempted
2004,Szczecin,technical/professional,51,Attempted
2004,Szczecin,medium,20,Attempted
2004,Szczecin,higher,3,Attempted
2004,Warszawa,basic incomplete,3,Attempted
2004,Warszawa,basic,37,Attempted
2004,Warszawa,technical/professional,25,Attempted
2004,Warszawa,medium,48,Attempted
2004,Warszawa,higher,12,Attempted
2005,Wrocław,basic incomplete,7,Attempted
2005,Wrocław,basic,36,Attempted
2005,Wrocław,technical/professional,54,Attempted
2005,Wrocław,medium,20,Attempted
2005,Wrocław,higher,7,Attempted
2005,Bydgoszcz,basic incomplete,4,Attempted
2005,Bydgoszcz,basic,62,Attempted
2005,Bydgoszcz,technical/professional,66,Attempted
