year,garnizon,civil_status,suicides,outcome
2002,Kraków,separated,5,Attempted
2002,Radom,single,119,Attempted
2002,Radom,married,184,Attempted
2002,Radom,concubine,6,Attempted
2002,Radom,widower,34,Attempted
2002,Radom,divorced,19,Attempted
2002,Radom,separated,9,Attempted
2002,Opole,single,48,Attempted
2002,Opole,married,71,Attempted
2002,Opole,concubine,6,Attempted
2002,Opole,widower,12,Attempted
2002,Opole,divorced,8,Attempted
2002,Opole,separated,0,Attempted
2002,Rzeszów,single,132,Attempted
2002,Rzeszów,married,155,Attempted
2002,Rzeszów,concubine,8,Attempted
2002,Rzeszów,widower,36,Attempted
2002,Rzeszów,divorced,17,Attempted
2002,Rzeszów,separated,5,Attempted
2002,Białystok,single,95,Attempted
2002,Białystok,married,95,Attempted
2002,Białystok,concubine,11,Attempted
2002,Białystok,widower,19,Attempted
2002,Białystok,divorced,6,Attempted
2002,Białystok,separated,3,Attempted
2002,Gdańsk,single,110,Attempted
2002,Gdańsk,married,173,Attempted
2002,Gdańsk,concubine,12,Attempted
2002,Gdańsk,widower,21,Attempted
2002,Gdańsk,divorced,17,Attempted
2002,Gdańsk,separated,5,Attempted
2002,Katowice,single,170,Attempted
2002,Katowice,married,297,Attempted
2002,Katowice,concubine,24,Attempted
2002,Katowice,widower,49,Attempted
2002,Katowice,divorced,36,Attempted
2002,Katowice,separated,10,Attempted
2002,Kielce,single,62,Attempted
2002,Kielce,married,100,Attempted
2002,Kielce,concubine,5,Attempted
2002,Kielce,widower,20,Attempted
2002,Kielce,divorced,15,Attempted
2002,Kielce,separated,0,Attempted
2002,Olsztyn,single,98,Attempted
2002,Olsztyn,married,115,Attempted
2002,Olsztyn,concubine,10,Attempted
2002,Olsztyn,widower,19,Attempted
2002,Olsztyn,divorced,11,Attempted
2002,Olsztyn,separated,3,Attempted
2002,Poznań,single,187,Attempted
2002,Poznań,married,288,Attempted
2002,Poznań,concubine,12,Attempted
2002,Poznań,widower,33,Attempted
2002,Poznań,divorced,41,Attempted
2002,Poznań,separated,5,Attempted
2002,Szczecin,single,106,Attempted
2002,Szczecin,married,116,Attempted
2002,Szczecin,concubine,14,Attempted
2002,Szczecin,widower,24,Attempted
2002,Szczecin,divorced,15,Attempted
2002,Szczecin,separated,2,Attempted
2002,Warszawa,single,39,Attempted
2002,Warszawa,married,50,Attempted
2002,Warszawa,concubine,4,Attempted
2002,Warszawa,widower,6,Attempted
2002,Warszawa,divorced,15,Attempted
2002,Warszawa,separated,0,Attempted
2003,Wrocław,single,130,Attempted
2003,Wrocław,married,165,Attempted
2003,Wrocław,concubine,19,Attempted
2003,Wrocław,widower,33,Attempted
2003,Wrocław,divorced,35,Attempted
2003,Wrocław,separated,4,Attempted
2003,Bydgoszcz,single,59,Attempted
2003,Bydgoszcz,married,104,Attempted
2003,Bydgoszcz,concubine,3,Attempted
2003,Bydgoszcz,widower,15,Attempted
2003,Bydgoszcz,divorced,11,Attempted
2003,Bydgoszcz,separated,2,Attempted
2003,Lublin,single,145,Attempted
2003,Lublin,married,172,Attempted
2003,Lublin,concubine,14,Attempted
2003,Lublin,widower,26,Attempted
2003,Lublin,divorced,12,Attempted
2003,Lublin,separated,6,Attempted
2003,Gorzów Wlkp.,single,48,Attempted
2003,Gorzów Wlkp.,married,81,Attempted
2003,Gorzów Wlkp.,concubine,10,Attempted
2003,Gorzów Wlkp.,widower,13,Attempted
2003,Gorzów Wlkp.,divorced,14,Attempted
2003,Gorzów Wlkp.,separated,1,Attempted
2003,Łódź,single,99,Attempted
2003,Łódź,married,154,Attempted
2003,Łódź,concubine,8,Attempted
2003,Łódź,widower,32,Attempted
2003,Łódź,divorced,14,Attempted
2003,Łódź,separated,1,Attempted
