,Year,Garnizon,Suicides
277,2017,KWP Katowice,601
278,2017,KWP Kielce,199
279,2017,KWP Kraków,414
280,2017,KWP Łódź,380
281,2017,KWP Lublin,331
282,2017,KWP Olsztyn,226
283,2017,KWP Opole,126
284,2017,KWP Poznań,411
285,2017,KWP Radom,393
286,2017,KWP Rzeszów,285
287,2017,KWP Szczecin,249
288,2017,KWP Wrocław,440
289,2018,KSP Warszawa,377
290,2018,KWP Białystok,139
291,2018,KWP Bydgoszcz,281
292,2018,KWP Gdańsk,274
293,2018,KWP Gorzów Wlkp.,153
294,2018,KWP Katowice,596
295,2018,KWP Kielce,181
296,2018,KWP Kraków,398
297,2018,KWP Łódź,391
298,2018,KWP Lublin,321
299,2018,KWP Olsztyn,215
300,2018,KWP Opole,116
301,2018,KWP Poznań,386
302,2018,KWP Radom,392
303,2018,KWP Rzeszów,273
304,2018,KWP Szczecin,262
305,2018,KWP Wrocław,427
306,2019,KSP Warszawa,349
307,2019,KWP Białystok,172
308,2019,KWP Bydgoszcz,260
309,2019,KWP Gdańsk,313
310,2019,KWP Gorzów Wlkp.,176
311,2019,KWP Katowice,548
312,2019,KWP Kielce,190
313,2019,KWP Kraków,432
314,2019,KWP Łódź,345
315,2019,KWP Lublin,306
316,2019,KWP Olsztyn,242
317,2019,KWP Opole,129
318,2019,KWP Poznań,438
319,2019,KWP Radom,401
320,2019,KWP Rzeszów,235
321,2019,KWP Szczecin,266
322,2019,KWP Wrocław,453
323,2020,KSP Warszawa,377
324,2020,KWP Białystok,173
325,2020,KWP Bydgoszcz,255
326,2020,KWP Gdańsk,302
327,2020,KWP Gorzów Wlkp.,148
328,2020,KWP Katowice,562
329,2020,KWP Kielce,192
330,2020,KWP Kraków,475
331,2020,KWP Łódź,329
332,2020,KWP Lublin,302
333,2020,KWP Olsztyn,245
334,2020,KWP Opole,105
335,2020,KWP Poznań,409
336,2020,KWP Radom,375
337,2020,KWP Rzeszów,250
338,2020,KWP Szczecin,243
339,2020,KWP Wrocław,423
