Year,Garnizon,Total,Age,Suicides by age,Result,Sex,Suicides by sex,Population,Percentage
2008,KWP Wrocław,311,7-12,0,Attempted,Male,257,638659,4.869578288257114e-4
2008,KWP Bydgoszcz,323,7-12,0,Attempted,Male,262,354006,9.124139138884652e-4
2008,KWP Lublin,398,7-12,0,Attempted,Male,327,342039,0.0011636099976903218
2008,KWP Gorzów Wlkp.,201,7-12,1,Attempted,Male,157,122141,0.0016456390565002743
2008,KWP Łódź,379,7-12,0,Attempted,Male,299,696708,5.439868639372592e-4
2008,KWP Kraków,369,7-12,0,Attempted,Male,308,766683,4.812940941692981e-4
2008,KWP Radom,487,7-12,0,Attempted,Male,423,213715,0.0022787356994127695
2008,KWP Opole,157,7-12,0,Attempted,Male,119,118303,0.0013271007497696592
2008,KWP Rzeszów,239,7-12,2,Attempted,Male,192,183901,0.001299612291395914
2008,KWP Białystok,247,7-12,0,Attempted,Male,202,293407,8.418340394060128e-4
2008,KWP Gdańsk,287,7-12,1,Attempted,Male,237,582205,4.929535129378827e-4
2008,KWP Katowice,536,7-12,1,Attempted,Male,411,302397,0.001772504356855392
2008,KWP Kielce,135,7-12,0,Attempted,Male,118,195942,6.889793918608567e-4
2008,KWP Olsztyn,361,7-12,1,Attempted,Male,268,173718,0.00207808056735629
2008,KWP Poznań,367,7-12,2,Attempted,Male,297,540365,6.791705606395677e-4
2008,KWP Szczecin,226,7-12,0,Attempted,Male,165,404461,5.587683361312957e-4
2008,KSP Warszawa,214,7-12,1,Attempted,Male,165,1790658,1.1950914133240407e-4
2008,Polska,5237,7-12,9,Attempted,Male,4207,NA,NA
2009,KWP Wrocław,295,7-12,0,Attempted,Male,243,638659,4.6190533602438863e-4
2009,KWP Bydgoszcz,333,7-12,0,Attempted,Male,284,354006,9.406620226775817e-4
2009,KWP Lublin,390,7-12,1,Attempted,Male,326,342039,0.0011402208520081044
2009,KWP Gorzów Wlkp.,285,7-12,0,Attempted,Male,233,122141,0.002333368811455613
2009,KWP Łódź,471,7-12,1,Attempted,Male,385,696708,6.760364456845623e-4
2009,KWP Kraków,463,7-12,0,Attempted,Male,390,766683,6.039001777788213e-4
2009,KWP Radom,452,7-12,0,Attempted,Male,390,213715,0.0021149661932948084
2009,KWP Opole,185,7-12,0,Attempted,Male,150,118303,0.0015637811382636113
2009,KWP Rzeszów,242,7-12,0,Attempted,Male,210,183901,0.0013159254163925156
2009,KWP Białystok,251,7-12,0,Attempted,Male,204,293407,8.554669793154219e-4
2009,KWP Gdańsk,341,7-12,0,Attempted,Male,275,582205,5.857043481248014e-4
2009,KWP Katowice,712,7-12,0,Attempted,Male,580,302397,0.0023545207128377594
2009,KWP Kielce,155,7-12,0,Attempted,Male,132,195942,7.910504128772801e-4
2009,KWP Olsztyn,395,7-12,1,Attempted,Male,291,173718,0.002273800066774888
2009,KWP Poznań,451,7-12,0,Attempted,Male,368,540365,8.34621043183774e-4
2009,KWP Szczecin,238,7-12,0,Attempted,Male,178,404461,5.884374513241079e-4
2009,KSP Warszawa,254,7-12,2,Attempted,Male,200,1790658,1.4184729859079734e-4
2009,Polska,5913,7-12,5,Attempted,Male,4839,NA,NA
2010,KWP Wrocław,266,7-12,0,Attempted,Male,223,638659,4.1649769282199107e-4
2010,KWP Bydgoszcz,291,7-12,0,Attempted,Male,247,354006,8.220199657632922e-4
2010,KWP Lublin,359,7-12,0,Attempted,Male,305,342039,0.0010495879124895115
2010,KWP Gorzów Wlkp.,183,7-12,0,Attempted,Male,143,122141,0.0014982683947241302
2010,KWP Łódź,440,7-12,1,Attempted,Male,363,696708,6.31541477921884e-4
2010,KWP Kraków,467,7-12,1,Attempted,Male,397,766683,6.09117457932418e-4
2010,KWP Radom,416,7-12,2,Attempted,Male,357,213715,0.0019465175584306201
2010,KWP Opole,186,7-12,0,Attempted,Male,137,118303,0.0015722340092812525
2010,KWP Rzeszów,252,7-12,0,Attempted,Male,212,183901,0.0013703024997145203
2010,KWP Białystok,234,7-12,1,Attempted,Male,198,293407,7.975269847004332e-4
2010,KWP Gdańsk,268,7-12,0,Attempted,Male,224,582205,4.6031895981655944e-4
2010,KWP Katowice,698,7-12,0,Attempted,Male,557,302397,0.002308223957248253
2010,KWP Kielce,208,7-12,0,Attempted,Male,179,195942,0.0010615386185708015
2010,KWP Olsztyn,373,7-12,0,Attempted,Male,289,173718,0.002147158037739325
