year,garnizon,sex,suicides,outcome
2002,KWP Kraków,Female,136,Attempted
2002,KWP Radom,Female,73,Attempted
2002,KWP Opole,Female,26,Attempted
2002,KWP Rzeszów,Female,74,Attempted
2002,KWP Białystok,Female,38,Attempted
2002,KWP Gdańsk,Female,64,Attempted
2002,KWP Katowice,Female,132,Attempted
2002,KWP Kielce,Female,36,Attempted
2002,KWP Olsztyn,Female,55,Attempted
2002,KWP Poznań,Female,145,Attempted
2002,KWP Szczecin,Female,76,Attempted
2002,KSP Warszawa,Female,29,Attempted
2003,KWP Wrocław,Female,84,Attempted
2003,KWP Bydgoszcz,Female,39,Attempted
2003,KWP Lublin,Female,55,Attempted
2003,KWP Gorzów Wlkp.,Female,51,Attempted
2003,KWP Łódź,Female,56,Attempted
2003,KWP Kraków,Female,96,Attempted
2003,KWP Radom,Female,46,Attempted
2003,KWP Opole,Female,27,Attempted
2003,KWP Rzeszów,Female,60,Attempted
2003,KWP Białystok,Female,45,Attempted
2003,KWP Gdańsk,Female,51,Attempted
2003,KWP Katowice,Female,142,Attempted
2003,KWP Kielce,Female,23,Attempted
2003,KWP Olsztyn,Female,23,Attempted
2003,KWP Poznań,Female,115,Attempted
2003,KWP Szczecin,Female,84,Attempted
2003,KSP Warszawa,Female,42,Attempted
2004,KWP Wrocław,Female,94,Attempted
2004,KWP Bydgoszcz,Female,71,Attempted
2004,KWP Lublin,Female,42,Attempted
2004,KWP Gorzów Wlkp.,Female,37,Attempted
2004,KWP Łódź,Female,65,Attempted
2004,KWP Kraków,Female,91,Attempted
2004,KWP Radom,Female,48,Attempted
2004,KWP Opole,Female,35,Attempted
2004,KWP Rzeszów,Female,49,Attempted
2004,KWP Białystok,Female,34,Attempted
2004,KWP Gdańsk,Female,61,Attempted
2004,KWP Katowice,Female,135,Attempted
2004,KWP Kielce,Female,37,Attempted
2004,KWP Olsztyn,Female,40,Attempted
2004,KWP Poznań,Female,112,Attempted
2004,KWP Szczecin,Female,73,Attempted
2004,KSP Warszawa,Female,70,Attempted
2005,KWP Wrocław,Female,70,Attempted
2005,KWP Bydgoszcz,Female,60,Attempted
2005,KWP Lublin,Female,68,Attempted
2005,KWP Gorzów Wlkp.,Female,39,Attempted
2005,KWP Łódź,Female,73,Attempted
2005,KWP Kraków,Female,76,Attempted
2005,KWP Radom,Female,40,Attempted
2005,KWP Opole,Female,40,Attempted
2005,KWP Rzeszów,Female,43,Attempted
2005,KWP Białystok,Female,42,Attempted
2005,KWP Gdańsk,Female,60,Attempted
2005,KWP Katowice,Female,115,Attempted
2005,KWP Kielce,Female,21,Attempted
2005,KWP Olsztyn,Female,52,Attempted
2005,KWP Poznań,Female,115,Attempted
2005,KWP Szczecin,Female,50,Attempted
2005,KSP Warszawa,Female,65,Attempted
2006,KWP Wrocław,Female,67,Attempted
2006,KWP Bydgoszcz,Female,33,Attempted
2006,KWP Lublin,Female,52,Attempted
2006,KWP Gorzów Wlkp.,Female,44,Attempted
2006,KWP Łódź,Female,69,Attempted
2006,KWP Kraków,Female,80,Attempted
2006,KWP Radom,Female,41,Attempted
2006,KWP Opole,Female,46,Attempted
2006,KWP Rzeszów,Female,37,Attempted
2006,KWP Białystok,Female,33,Attempted
2006,KWP Gdańsk,Female,73,Attempted
2006,KWP Katowice,Female,118,Attempted
2006,KWP Kielce,Female,30,Attempted
2006,KWP Olsztyn,Female,71,Attempted
2006,KWP Poznań,Female,85,Attempted
2006,KWP Szczecin,Female,51,Attempted
2006,KSP Warszawa,Female,48,Attempted
2007,KWP Wrocław,Female,53,Attempted
2007,KWP Bydgoszcz,Female,54,Attempted
2007,KWP Lublin,Female,48,Attempted
2007,KWP Gorzów Wlkp.,Female,38,Attempted
2007,KWP Łódź,Female,92,Attempted
2007,KWP Kraków,Female,68,Attempted
2007,KWP Radom,Female,44,Attempted
2007,KWP Opole,Female,25,Attempted
2007,KWP Rzeszów,Female,38,Attempted
2007,KWP Białystok,Female,30,Attempted
2007,KWP Gdańsk,Female,42,Attempted
2007,KWP Katowice,Female,105,Attempted
2007,KWP Kielce,Female,20,Attempted
2007,KWP Olsztyn,Female,77,Attempted
2007,KWP Poznań,Female,107,Attempted
2007,KWP Szczecin,Female,58,Attempted
2007,KSP Warszawa,Female,29,Attempted
2008,KWP Wrocław,Female,54,Attempted
2008,KWP Bydgoszcz,Female,61,Attempted
2008,KWP Lublin,Female,71,Attempted
2008,KWP Gorzów Wlkp.,Female,44,Attempted
2008,KWP Łódź,Female,80,Attempted
2008,KWP Kraków,Female,61,Attempted
2008,KWP Radom,Female,64,Attempted
2008,KWP Opole,Female,38,Attempted
2008,KWP Rzeszów,Female,47,Attempted
2008,KWP Białystok,Female,45,Attempted
2008,KWP Gdańsk,Female,50,Attempted
2008,KWP Katowice,Female,125,Attempted
2008,KWP Kielce,Female,17,Attempted
2008,KWP Olsztyn,Female,93,Attempted
2008,KWP Poznań,Female,70,Attempted
2008,KWP Szczecin,Female,61,Attempted
2008,KSP Warszawa,Female,49,Attempted
2009,KWP Wrocław,Female,52,Attempted
2009,KWP Bydgoszcz,Female,49,Attempted
2009,KWP Lublin,Female,64,Attempted
2009,KWP Gorzów Wlkp.,Female,52,Attempted
2009,KWP Łódź,Female,86,Attempted
2009,KWP Kraków,Female,73,Attempted
2009,KWP Radom,Female,62,Attempted
2009,KWP Opole,Female,35,Attempted
2009,KWP Rzeszów,Female,32,Attempted
2009,KWP Białystok,Female,47,Attempted
2009,KWP Gdańsk,Female,66,Attempted
2009,KWP Katowice,Female,132,Attempted
2009,KWP Kielce,Female,23,Attempted
2009,KWP Olsztyn,Female,104,Attempted
2009,KWP Poznań,Female,83,Attempted
2009,KWP Szczecin,Female,60,Attempted
2009,KSP Warszawa,Female,54,Attempted
2010,KWP Wrocław,Female,43,Attempted
2010,KWP Bydgoszcz,Female,44,Attempted
2010,KWP Lublin,Female,54,Attempted
2010,KWP Gorzów Wlkp.,Female,40,Attempted
2010,KWP Łódź,Female,77,Attempted
2010,KWP Kraków,Female,70,Attempted
2010,KWP Radom,Female,59,Attempted
2010,KWP Opole,Female,49,Attempted
2010,KWP Rzeszów,Female,40,Attempted
2010,KWP Białystok,Female,36,Attempted
2010,KWP Gdańsk,Female,44,Attempted
2010,KWP Katowice,Female,141,Attempted
2010,KWP Kielce,Female,29,Attempted
2010,KWP Olsztyn,Female,84,Attempted
2010,KWP Poznań,Female,61,Attempted
2010,KWP Szczecin,Female,56,Attempted
2010,KSP Warszawa,Female,49,Attempted
2011,KWP Wrocław,Female,47,Attempted
2011,KWP Bydgoszcz,Female,60,Attempted
2011,KWP Lublin,Female,48,Attempted
2011,KWP Gorzów Wlkp.,Female,39,Attempted
2011,KWP Łódź,Female,79,Attempted
2011,KWP Kraków,Female,81,Attempted
2011,KWP Radom,Female,43,Attempted
2011,KWP Opole,Female,29,Attempted
2011,KWP Rzeszów,Female,30,Attempted
2011,KWP Białystok,Female,46,Attempted
2011,KWP Gdańsk,Female,38,Attempted
2011,KWP Katowice,Female,112,Attempted
2011,KWP Kielce,Female,23,Attempted
2011,KWP Olsztyn,Female,108,Attempted
2011,KWP Poznań,Female,52,Attempted
2011,KWP Szczecin,Female,49,Attempted
2011,KSP Warszawa,Female,45,Attempted
