year,garnizon,outcome,total,percentage
2011,KWP Bydgoszcz,Fatal,271,7.65523748185059e-4
2011,KWP Gdańsk,Attempted,260,4.465780953444234e-4
2011,KWP Gdańsk,Fatal,212,3.6413290851160674e-4
2011,KWP Gorzów Wlkp.,Attempted,214,0.0017520734233386005
2011,KWP Gorzów Wlkp.,Fatal,137,0.0011216544812962068
2011,KWP Katowice,Attempted,695,0.0022983032239076444
2011,KWP Katowice,Fatal,435,0.001438506334388238
2011,KWP Kielce,Attempted,172,8.778107807412398e-4
2011,KWP Kielce,Fatal,154,7.859468618264589e-4
2011,KWP Kraków,Attempted,439,5.725964968572409e-4
2011,KWP Kraków,Fatal,342,4.4607745313252024e-4
2011,KWP Łódź,Attempted,436,6.258001917589578e-4
2011,KWP Łódź,Fatal,342,4.908799669301917e-4
2011,KWP Lublin,Attempted,313,9.151003248167607e-4
2011,KWP Lublin,Fatal,249,7.279871593590205e-4
2011,KWP Olsztyn,Attempted,336,0.0019341691707249681
2011,KWP Olsztyn,Fatal,173,9.958668646887485e-4
2011,KWP Opole,Attempted,141,0.001191854813487401
2011,KWP Opole,Fatal,68,5.747952291995977e-4
2011,KWP Poznań,Attempted,326,6.032959203501337e-4
2011,KWP Poznań,Fatal,266,4.922598613899863e-4
2011,KWP Radom,Attempted,356,0.001665769833656973
2011,KWP Radom,Fatal,328,0.0015347542287626045
2011,KWP Rzeszów,Attempted,197,0.001071228541443494
2011,KWP Rzeszów,Fatal,152,8.265316664944726e-4
2011,KWP Szczecin,Attempted,245,6.057444351865816e-4
2011,KWP Szczecin,Fatal,155,3.832260712404904e-4
2011,KWP Wrocław,Attempted,241,3.7735317281992425e-4
2011,KWP Wrocław,Fatal,208,3.2568240641719606e-4
2012,KSP Warszawa,Attempted,385,2.1500476361203534e-4
2012,KSP Warszawa,Fatal,318,1.775883502042266e-4
2012,KWP Białystok,Attempted,232,7.907105147457286e-4
2012,KWP Białystok,Fatal,176,5.99849356014001e-4
2012,KWP Bydgoszcz,Attempted,348,9.830341858612565e-4
2012,KWP Bydgoszcz,Fatal,291,8.220199657632922e-4
2012,KWP Gdańsk,Attempted,247,4.242491905772022e-4
2012,KWP Gdańsk,Fatal,194,3.332159634493005e-4
2012,KWP Gorzów Wlkp.,Attempted,248,0.0020304402289157615
2012,KWP Gorzów Wlkp.,Fatal,154,0.0012608378840847873
2012,KWP Katowice,Attempted,612,0.0020238296014841416
2012,KWP Katowice,Fatal,379,0.001253319312030212
