year,garnizon,age,suicides,outcome
2012,KWP Kielce,0-6,0,Attempted
2012,KWP Olsztyn,0-6,0,Attempted
2012,KWP Poznań,0-6,0,Attempted
2012,KWP Szczecin,0-6,0,Attempted
2012,KSP Warszawa,0-6,0,Attempted
1999,KWP Wrocław,7-12,0,Attempted
1999,KWP Bydgoszcz,7-12,0,Attempted
1999,KWP Lublin,7-12,1,Attempted
1999,KWP Gorzów Wlkp.,7-12,0,Attempted
1999,KWP Łódź,7-12,3,Attempted
1999,KWP Kraków,7-12,0,Attempted
1999,KWP Radom,7-12,1,Attempted
1999,KWP Opole,7-12,1,Attempted
1999,KWP Rzeszów,7-12,1,Attempted
1999,KWP Białystok,7-12,0,Attempted
1999,KWP Gdańsk,7-12,2,Attempted
1999,KWP Katowice,7-12,2,Attempted
1999,KWP Kielce,7-12,1,Attempted
1999,KWP Olsztyn,7-12,0,Attempted
1999,KWP Poznań,7-12,2,Attempted
1999,KWP Szczecin,7-12,0,Attempted
1999,KSP Warszawa,7-12,0,Attempted
2000,KWP Wrocław,7-12,1,Attempted
2000,KWP Bydgoszcz,7-12,0,Attempted
2000,KWP Lublin,7-12,2,Attempted
2000,KWP Gorzów Wlkp.,7-12,1,Attempted
2000,KWP Łódź,7-12,2,Attempted
2000,KWP Kraków,7-12,1,Attempted
2000,KWP Radom,7-12,2,Attempted
2000,KWP Opole,7-12,0,Attempted
2000,KWP Rzeszów,7-12,1,Attempted
2000,KWP Białystok,7-12,3,Attempted
2000,KWP Gdańsk,7-12,1,Attempted
2000,KWP Katowice,7-12,0,Attempted
2000,KWP Kielce,7-12,0,Attempted
2000,KWP Olsztyn,7-12,0,Attempted
2000,KWP Poznań,7-12,3,Attempted
2000,KWP Szczecin,7-12,0,Attempted
2000,KSP Warszawa,7-12,1,Attempted
2001,KWP Wrocław,7-12,1,Attempted
2001,KWP Bydgoszcz,7-12,2,Attempted
2001,KWP Lublin,7-12,1,Attempted
2001,KWP Gorzów Wlkp.,7-12,1,Attempted
2001,KWP Łódź,7-12,1,Attempted
2001,KWP Kraków,7-12,2,Attempted
2001,KWP Radom,7-12,2,Attempted
2001,KWP Opole,7-12,0,Attempted
2001,KWP Rzeszów,7-12,4,Attempted
2001,KWP Białystok,7-12,2,Attempted
2001,KWP Gdańsk,7-12,1,Attempted
2001,KWP Katowice,7-12,0,Attempted
2001,KWP Kielce,7-12,0,Attempted
2001,KWP Olsztyn,7-12,1,Attempted
2001,KWP Poznań,7-12,0,Attempted
2001,KWP Szczecin,7-12,1,Attempted
2001,KSP Warszawa,7-12,0,Attempted
2002,KWP Wrocław,7-12,0,Attempted
2002,KWP Bydgoszcz,7-12,0,Attempted
2002,KWP Lublin,7-12,0,Attempted
2002,KWP Gorzów Wlkp.,7-12,0,Attempted
2002,KWP Łódź,7-12,2,Attempted
2002,KWP Kraków,7-12,0,Attempted
2002,KWP Radom,7-12,1,Attempted
2002,KWP Opole,7-12,0,Attempted
2002,KWP Rzeszów,7-12,1,Attempted
2002,KWP Białystok,7-12,1,Attempted
2002,KWP Gdańsk,7-12,0,Attempted
2002,KWP Katowice,7-12,0,Attempted
2002,KWP Kielce,7-12,1,Attempted
2002,KWP Olsztyn,7-12,1,Attempted
2002,KWP Poznań,7-12,2,Attempted
2002,KWP Szczecin,7-12,1,Attempted
2002,KSP Warszawa,7-12,0,Attempted
2003,KWP Wrocław,7-12,2,Attempted
2003,KWP Bydgoszcz,7-12,0,Attempted
2003,KWP Lublin,7-12,3,Attempted
2003,KWP Gorzów Wlkp.,7-12,0,Attempted
2003,KWP Łódź,7-12,0,Attempted
2003,KWP Kraków,7-12,1,Attempted
2003,KWP Radom,7-12,1,Attempted
2003,KWP Opole,7-12,0,Attempted
2003,KWP Rzeszów,7-12,1,Attempted
2003,KWP Białystok,7-12,0,Attempted
2003,KWP Gdańsk,7-12,0,Attempted
2003,KWP Katowice,7-12,2,Attempted
2003,KWP Kielce,7-12,0,Attempted
2003,KWP Olsztyn,7-12,1,Attempted
2003,KWP Poznań,7-12,0,Attempted
2003,KWP Szczecin,7-12,1,Attempted
2003,KSP Warszawa,7-12,1,Attempted
2004,KWP Wrocław,7-12,2,Attempted
2004,KWP Bydgoszcz,7-12,0,Attempted
2004,KWP Lublin,7-12,0,Attempted
2004,KWP Gorzów Wlkp.,7-12,1,Attempted
2004,KWP Łódź,7-12,0,Attempted
2004,KWP Kraków,7-12,1,Attempted
2004,KWP Radom,7-12,2,Attempted
2004,KWP Opole,7-12,0,Attempted
2004,KWP Rzeszów,7-12,0,Attempted
2004,KWP Białystok,7-12,1,Attempted
2004,KWP Gdańsk,7-12,1,Attempted
2004,KWP Katowice,7-12,3,Attempted
2004,KWP Kielce,7-12,0,Attempted
2004,KWP Olsztyn,7-12,0,Attempted
2004,KWP Poznań,7-12,1,Attempted
2004,KWP Szczecin,7-12,0,Attempted
2004,KSP Warszawa,7-12,0,Attempted
2005,KWP Wrocław,7-12,0,Attempted
2005,KWP Bydgoszcz,7-12,1,Attempted
2005,KWP Lublin,7-12,1,Attempted
2005,KWP Gorzów Wlkp.,7-12,0,Attempted
